t,theta,theta_dot,voltage
0.000000,0.000000,-0.050409,2.000000
0.001000,0.000000,-0.050203,2.000000
0.002000,0.000000,-0.049999,2.000000
0.003000,0.003068,0.049797,2.000000
0.004000,0.003068,0.049595,2.000000
0.005000,0.003068,0.049395,2.000000
0.006000,0.003068,0.049196,2.000000
0.007000,0.003068,0.049002,2.000000
0.008000,0.003068,0.048805,2.000000
0.009000,0.003068,0.048613,2.000000
0.010000,0.006136,0.058604,2.000000
0.011000,0.006136,0.058604,2.000000
0.012000,0.006136,0.058604,2.000000
0.013000,0.006136,0.058604,2.000000
0.014000,0.009204,0.058604,2.000000
0.015000,0.009204,0.058604,2.000000
0.016000,0.009204,0.058604,2.000000
0.017000,0.012272,0.058604,2.000000
0.018000,0.012272,0.058604,2.000000
0.019000,0.015340,0.058604,2.000000
0.020000,0.015340,0.058604,2.000000
0.021000,0.018408,0.126661,2.000000
0.022000,0.018408,0.126661,2.000000
0.023000,0.021476,0.126661,2.000000
0.024000,0.021476,0.126661,2.000000
0.025000,0.024544,0.126661,2.000000
0.026000,0.024544,0.126661,2.000000
0.027000,0.027612,0.126661,2.000000
0.028000,0.030680,1.493062,2.000000
0.029000,0.030680,1.493062,2.000000
0.030000,0.030680,1.493062,2.000000
0.031000,0.036816,1.493062,2.000000
0.032000,0.036816,1.493062,2.000000
0.033000,0.039884,1.493062,2.000000
0.034000,0.042951,2.025261,2.000000
0.035000,0.046019,2.025261,2.000000
0.036000,0.049087,2.025261,2.000000
0.037000,0.049087,2.025261,2.000000
0.038000,0.052155,2.025261,2.000000
0.039000,0.055223,2.413725,2.000000
0.040000,0.058291,2.413725,2.000000
0.041000,0.061359,2.413725,2.000000
0.042000,0.061359,2.413725,2.000000
0.043000,0.067495,2.722372,2.000000
0.044000,0.070563,2.722372,2.000000
0.045000,0.073631,2.722372,2.000000
0.046000,0.076699,2.722372,2.000000
0.047000,0.076699,2.722372,2.000000
0.048000,0.082835,3.005043,2.000000
0.049000,0.085903,3.005043,2.000000
0.050000,0.092039,3.244851,2.000000
0.051000,0.092039,3.244851,2.000000
0.052000,0.098175,3.244851,2.000000
0.053000,0.098175,3.244851,2.000000
0.054000,0.104311,3.464625,2.000000
0.055000,0.104311,3.464625,2.000000
0.056000,0.107379,3.464625,2.000000
0.057000,0.116583,3.680710,2.000000
0.058000,0.119651,3.680710,2.000000
0.059000,0.122718,3.680710,2.000000
0.060000,0.128854,3.856309,2.000000
0.061000,0.131922,3.856309,2.000000
