t,alpha,alpha_dot
4.131,-2.71821,2.45668
4.132,-2.71821,2.24468
4.133,-2.71515,2.18191
4.134,-2.71208,2.18191
4.135,-2.71208,2.18191
4.136,-2.70901,2.18191
4.137,-2.70594,2.18191
4.138,-2.70594,2.09962
4.139,-2.70287,1.87311
4.14,-2.70287,1.87311
4.141,-2.69981,1.87311
4.142,-2.69981,1.87311
4.143,-2.69674,1.87311
4.144,-2.69674,1.87311
4.145,-2.69367,1.87311
4.146,-2.69367,1.68668
4.147,-2.6906,1.5167
4.148,-2.6906,1.5167
4.149,-2.6906,1.5167
4.15,-2.68753,1.5167
4.151,-2.68753,1.5167
4.152,-2.68753,1.5167
4.153,-2.68447,1.5167
4.154,-2.68447,1.5167
4.155,-2.68447,1.49765
4.156,-2.6814,1.33414
4.157,-2.6814,1.20454
4.158,-2.6814,1.09653
4.159,-2.67833,1.00612
4.16,-2.67833,1.00612
4.161,-2.67833,1.00612
4.162,-2.67833,1.00612
4.163,-2.67833,1.00612
4.164,-2.67833,1.00612
4.165,-2.67833,1.00612
4.166,-2.67526,1.00612
4.167,-2.67526,1.00612
4.168,-2.67526,1.00612
4.169,-2.67526,1.00612
4.17,-2.67526,1.00612
4.171,-2.67526,1.00612
4.172,-2.67526,0.943767
4.173,-2.67526,0.876459
4.174,-2.67526,0.818366
4.175,-2.67526,0.76724
4.176,-2.67526,0.721914
4.177,-2.67526,0.681841
4.178,-2.67833,-0.645963
4.179,-2.67833,-0.613589
4.18,-2.67833,-0.584383
4.181,-2.67833,-0.557764
4.182,-2.67833,-0.533549
4.183,-2.67833,-0.511473
4.184,-2.6814,-0.490862
4.185,-2.6814,-0.471944
4.186,-2.6814,-0.454498
4.187,-2.6814,-0.438232
4.188,-2.68447,-0.423229
4.189,-2.68447,-0.409089
4.19,-2.68447,-0.395907
4.191,-2.68753,-0.387326
4.192,-2.68753,-0.387326
4.193,-2.68753,-0.387326
4.194,-2.6906,-0.387326
4.195,-2.6906,-0.387326
4.196,-2.69367,-0.387326
4.197,-2.69367,-0.387326
4.198,-2.69367,-0.387326
4.199,-2.69674,-0.387326
4.2,-2.69674,-0.387326
4.201,-2.69981,-1.29486
4.202,-2.69981,-1.29486
4.203,-2.70287,-1.29486
4.204,-2.70594,-1.29486
4.205,-2.70594,-1.29486
4.206,-2.70901,-1.29486
4.207,-2.70901,-1.29486
4.208,-2.71208,-1.71864
4.209,-2.71515,-1.71864
4.21,-2.71515,-1.71864
4.211,-2.71821,-1.71864
4.212,-2.72128,-1.71864
4.213,-2.72128,-1.71864
4.214,-2.72435,-2.0446
4.215,-2.72742,-2.0446
4.216,-2.72742,-2.0446
4.217,-2.73049,-2.0446
4.218,-2.73355,-2.0446
4.219,-2.73662,-2.32604
4.22,-2.73969,-2.32604
4.221,-2.73969,-2.32604
4.222,-2.74276,-2.32604
4.223,-2.74583,-2.32604
4.224,-2.74889,-2.56577
4.225,-2.75196,-2.56577
4.226,-2.75503,-2.56577
4.227,-2.7581,-2.56577
4.228,-2.76117,-2.78079
4.229,-2.76423,-2.78079
4.23,-2.7673,-2.78079
4.231,-2.77037,-2.78079
4.232,-2.77344,-2.97129
4.233,-2.77651,-2.97129
4.234,-2.77957,-2.97129
4.235,-2.78264,-2.97129
4.236,-2.78571,-3.13583
4.237,-2.78878,-3.13583
4.238,-2.79185,-3.13583
4.239,-2.79491,-3.13583
4.24,-2.79798,-3.29522
4.241,-2.80105,-3.29522
4.242,-2.80412,-3.29522
4.243,-2.80718,-3.29522
4.244,-2.81332,-3.43577
4.245,-2.81639,-3.43577
4.246,-2.81946,-3.43577
4.247,-2.82252,-3.57152
4.248,-2.82559,-3.57152
4.249,-2.82866,-3.57152
4.25,-2.8348,-3.69951
4.251,-2.83786,-3.69951
4.252,-2.84093,-3.69951
4.253,-2.844,-3.69951
