t,theta,theta_dot,voltage
0.176,4.55899,38.6211,2
0.177,4.59581,38.6464,2
0.178,4.63569,38.7906,2
0.179,4.67557,38.8384,2
0.18,4.71239,38.8298,2
0.181,4.75227,38.9634,2
0.182,4.79216,38.9961,2
0.183,4.82897,39.0858,2
0.184,4.86886,39.1915,2
0.185,4.90874,39.2002,2
0.186,4.94862,39.2699,2
0.187,4.98851,39.2926,2
0.188,5.02532,39.4135,2
0.189,5.0652,39.5176,2
0.19,5.10509,39.615,2
0.191,5.14497,39.6648,2
0.192,5.18486,39.704,2
0.193,5.22474,39.7415,2
0.194,5.26462,39.7755,2
0.195,5.30451,39.788,2
0.196,5.34439,39.867,2
0.197,5.38427,40.0405,2
0.198,5.42416,40.0459,2
0.199,5.46404,40.1223,2
0.2,5.50392,40.1661,2
0.201,5.54381,40.2667,2
0.202,5.58369,40.3569,2
0.203,5.62664,40.3993,2
0.204,5.66653,40.4826,2
0.205,5.70641,40.5495,2
0.206,5.74629,40.6203,2
0.207,5.78924,40.6427,2
0.208,5.82913,40.7289,2
0.209,5.86901,40.7759,2
0.21,5.90889,40.7627,2
0.211,5.95185,40.8287,2
0.212,5.99173,40.9099,2
0.213,6.03161,40.9592,2
0.214,6.07456,41.022,2
0.215,6.11445,41.0639,2
0.216,6.1574,41.0678,2
0.217,6.20035,41.2268,2
0.218,6.24023,41.2672,2
0.219,6.28319,41.3851,2
0.22,6.32307,41.3542,2
0.221,6.36602,41.4026,2
0.222,6.4059,41.5682,2
0.223,6.44886,41.5799,2
0.224,6.49181,41.5721,2
0.225,6.53169,41.7154,2
0.226,6.57464,41.7508,2
0.227,6.61453,41.7884,2
0.228,6.65748,41.7804,2
0.229,6.70043,41.8378,2
0.23,6.74031,41.9152,2
0.231,6.78326,41.9849,2
0.232,6.82621,41.975,2
0.233,6.8661,42.0669,2
0.234,6.90905,42.109,2
0.235,6.952,42.1291,2
0.236,6.99495,42.1612,2
0.237,7.03484,42.258,2
0.238,7.07779,42.3025,2
0.239,7.12074,42.339,2
0.24,7.16369,42.3939,2
0.241,7.20357,42.4244,2
0.242,7.24653,42.4591,2
0.243,7.28948,42.6167,2
0.244,7.33243,42.7053,2
0.245,7.37538,42.6188,2
0.246,7.41833,42.6971,2
0.247,7.46128,42.7632,2
0.248,7.50423,42.7963,2
0.249,7.54719,42.8752,2
0.25,7.59014,42.944,2
0.251,7.63309,42.9774,2
0.252,7.67604,43.0507,2
0.253,7.71899,43.0675,2
0.254,7.76194,43.0906,2
0.255,7.80489,43.1537,2
0.256,7.84785,43.2044,2
0.257,7.8908,43.2361,2
0.258,7.93375,43.27,2
0.259,7.9767,43.3826,2
0.26,8.01965,43.3741,2
0.261,8.06567,43.4167,2
0.262,8.10862,43.389,2
0.263,8.15157,43.5558,2
0.264,8.19453,43.515,2
0.265,8.23748,43.5537,2
0.266,8.2835,43.6031,2
0.267,8.32645,43.6634,2
0.268,8.3694,43.698,2
0.269,8.41235,43.7153,2
0.27,8.4553,43.8193,2
0.271,8.50132,43.8563,2
0.272,8.54427,43.8193,2
0.273,8.58722,43.8803,2
0.274,8.63324,43.9108,2
0.275,8.6762,43.9239,2
0.276,8.71915,44.0048,2
0.277,8.76517,44.0663,2
0.278,8.80812,44.1081,2
0.279,8.85107,44.1213,2
0.28,8.89709,44.1455,2
0.281,8.94004,44.2207,2
0.282,8.98606,44.2273,2
0.283,9.02901,44.2472,2
0.284,9.07196,44.296,2
0.285,9.11798,44.3205,2
0.286,9.16093,44.3516,2
0.287,9.20695,44.423,2
0.288,9.2499,44.4834,2
0.289,9.29592,44.4744,2
0.29,9.33888,44.5551,2
0.291,9.38489,44.5889,2
0.292,9.42785,44.5866,2
0.293,9.47387,44.6159,2
0.294,9.51682,44.6723,2
0.295,9.56284,44.6542,2
0.296,9.60886,44.7017,2
0.297,9.65181,44.6678,2
0.298,9.69783,44.7764,2
0.299,9.74078,44.7741,2
0.3,9.7868,44.7651,2
0.301,9.83282,44.7764,2
0.302,9.87884,44.7968,2
0.303,9.92486,44.8491,2
0.304,9.96781,44.881,2
0.305,10.0138,44.8788,2
0.306,10.0598,44.9655,2
0.307,10.1028,44.9816,2
0.308,10.1488,45.032,2
0.309,10.1948,45.0136,2
0.31,10.2378,44.9724,2
0.311,10.2838,44.9976,2
0.312,10.3298,45.0964,2
0.313,10.3728,45.1424,2
0.314,10.4188,45.2002,2
0.315,10.4648,45.0573,2
0.316,10.5108,45.3184,2
0.317,10.5538,45.2488,2
0.318,10.5998,45.3138,2
0.319,10.6458,45.2604,2
0.32,10.6918,45.2789,2
0.321,10.7348,45.3277,2
0.322,10.7808,45.344,2
0.323,10.8268,45.3859,2
0.324,10.8729,45.3976,2
0.325,10.9189,45.4209,2
0.326,10.9618,45.463,2
0.327,11.0078,45.4139,2
0.328,11.0539,45.4606,2
0.329,11.0999,45.5403,2
0.33,11.1459,45.5755,2
0.331,11.1919,45.6721,2
0.332,11.2349,45.5873,2
0.333,11.2809,45.6438,2
0.334,11.3269,45.6415,2
0.335,11.3729,45.6934,2
0.336,11.419,45.6226,2
0.337,11.465,45.7905,2
0.338,11.511,45.7786,2
0.339,11.557,45.7289,2
0.34,11.603,45.8499,2
0.341,11.6491,45.8475,2
0.342,11.6951,45.7834,2
0.343,11.738,45.8308,2
0.344,11.784,45.8523,2
0.345,11.8301,45.857,2
0.346,11.8761,45.9763,2
0.347,11.9221,45.9524,2
0.348,11.9681,45.9381,2
