t,alpha,alpha_dot
0.214,-3.14159,-0
0.215,-3.14159,-0
0.216,-3.14159,-0
0.217,-3.14159,-0
0.218,-3.14159,-0
0.219,-3.14159,-0
0.22,-3.14159,-0
0.221,-3.14159,-0
0.222,-3.14159,-0
0.223,-3.14159,-0
0.224,-3.14159,-0
0.225,-3.14159,-0
0.226,-3.14159,-0
0.227,-3.14159,-0
0.228,-3.14159,-0
0.229,-3.14159,-0
0.23,-3.14159,-0
0.231,-3.14159,-0
0.232,-3.14159,-0
0.233,-3.14159,-0
0.234,-3.14159,-0
0.235,-3.14159,-0
0.236,-3.14159,-0
0.237,-3.14159,-0
0.238,-3.14159,-0
0.239,-3.14159,-0
0.24,-3.14159,-0
0.241,-3.14159,-0
0.242,-3.14159,-0
0.243,-3.14159,-0
0.244,-3.14159,-0
0.245,-3.14159,-0
0.246,-3.14159,-0
0.247,-3.14159,-0
0.248,-3.14159,-0
0.249,-3.14159,-0
0.25,-3.14159,-0
0.251,-3.14159,-0
0.252,-3.14159,-0
0.253,-3.14159,-0
0.254,-3.14159,-0
0.255,-3.14159,-0
0.256,-3.14159,-0
0.257,-3.14159,-0
0.258,-3.14159,-0
0.259,-3.14159,-0
0.26,-3.14159,-0
0.261,-3.14159,-0
0.262,-3.14159,-0
0.263,-3.14159,-0
0.264,-3.14159,-0
0.265,-3.14159,-0
0.266,-3.14159,-0
0.267,-3.14159,-0
0.268,-3.14159,-0
0.269,-3.14159,-0
0.27,-3.14159,-0
0.271,-3.14159,-0
0.272,-3.14159,-0
0.273,-3.14159,-0
0.274,-3.14159,-0
0.275,-3.14159,-0
0.276,-3.14159,-0
0.277,-3.14159,-0
0.278,-3.14159,-0
0.279,-3.14159,-0
0.28,-3.14159,-0
0.281,-3.14159,-0
0.282,-3.14159,-0
0.283,-3.14159,-0
0.284,-3.14159,-0
0.285,-3.14159,-0
0.286,-3.14159,-0
0.287,-3.14159,-0
0.288,-3.14159,-0
0.289,-3.14159,-0
0.29,-3.14159,-0
0.291,-3.14159,-0
0.292,-3.14159,-0
0.293,-3.14159,-0
0.294,-3.14159,-0
0.295,-3.14159,-0
0.296,-3.14159,-0
0.297,-3.14159,-0
0.298,-3.14159,-0
0.299,-3.14159,-0
0.3,-3.14159,-0
0.301,-3.14159,-0
0.302,-3.14159,-0
0.303,-3.14159,-0
0.304,-3.14159,-0
0.305,-3.14159,-0
0.306,-3.14159,-0
0.307,-3.14159,-0
0.308,-3.14159,-0
0.309,-3.14159,-0
0.31,-3.14159,-0
0.311,-3.14159,-0
0.312,-3.14159,-0
0.313,-3.14159,-0
0.314,-3.14159,-0
0.315,-3.14159,-0
0.316,-3.14159,-0
0.317,-3.14159,-0
0.318,-3.14159,-0
0.319,-3.14159,-0
0.32,-3.14159,-0
0.321,-3.14159,-0
0.322,-3.14159,-0
0.323,-3.14159,-0
0.324,-3.14159,-0
0.325,-3.14159,-0
0.326,-3.14159,-0
0.327,-3.14159,-0
0.328,-3.14159,-0
