t,theta,theta_dot,voltage
0.000000,0.000000,0.000000,4.000000
0.001000,0.000000,0.000000,4.000000
0.002000,0.003068,0.000000,4.000000
0.003000,0.003068,0.000000,4.000000
0.004000,0.003068,0.000000,4.000000
0.005000,0.003068,0.000000,4.000000
0.006000,0.003068,0.000000,4.000000
0.007000,0.003068,0.000000,4.000000
0.008000,0.006136,0.000000,4.000000
0.009000,0.006136,0.000000,4.000000
0.010000,0.009204,0.000000,4.000000
0.011000,0.009204,0.000000,4.000000
0.012000,0.012272,0.000000,4.000000
0.013000,0.012272,0.000000,4.000000
0.014000,0.015340,0.000000,4.000000
0.015000,0.018408,0.000000,4.000000
0.016000,0.018408,0.000000,4.000000
0.017000,0.021476,0.000000,4.000000
0.018000,0.024544,1.559785,4.000000
0.019000,0.027612,1.559785,4.000000
0.020000,0.030680,1.559785,4.000000
0.021000,0.033748,1.559785,4.000000
0.022000,0.036816,2.549729,4.000000
0.023000,0.039884,2.549729,4.000000
0.024000,0.042951,2.549729,4.000000
0.025000,0.046019,2.549729,4.000000
0.026000,0.052155,3.220898,4.000000
0.027000,0.055223,3.220898,4.000000
0.028000,0.058291,3.220898,4.000000
0.029000,0.064427,3.777519,4.000000
0.030000,0.067495,3.777519,4.000000
0.031000,0.073631,4.238756,4.000000
0.032000,0.076699,4.238756,4.000000
0.033000,0.082835,4.238756,4.000000
0.034000,0.085903,4.646618,4.000000
0.035000,0.092039,4.646618,4.000000
0.036000,0.098175,5.010422,4.000000
0.037000,0.101243,5.010422,4.000000
0.038000,0.107379,5.010422,4.000000
0.039000,0.113515,5.318019,4.000000
0.040000,0.119651,5.318019,4.000000
0.041000,0.125786,5.611768,4.000000
0.042000,0.131922,5.611768,4.000000
0.043000,0.138058,5.875758,4.000000
0.044000,0.144194,5.875758,4.000000
0.045000,0.150330,6.144756,4.000000
0.046000,0.156466,6.144756,4.000000
0.047000,0.162602,6.374065,4.000000
0.048000,0.171806,6.577091,4.000000
0.049000,0.177942,6.577091,4.000000
0.050000,0.184078,6.818376,4.000000
0.051000,0.190214,6.818376,4.000000
0.052000,0.199418,6.980186,4.000000
0.053000,0.205553,6.980186,4.000000
0.054000,0.211689,7.197740,4.000000
0.055000,0.220893,7.330244,4.000000
0.056000,0.227029,7.330244,4.000000
0.057000,0.236233,7.508395,4.000000
0.058000,0.242369,7.508395,4.000000
0.059000,0.251573,7.675967,4.000000
0.060000,0.257709,7.786087,4.000000
0.061000,0.266913,7.786087,4.000000
0.062000,0.276117,7.927051,4.000000
0.063000,0.282252,8.066802,4.000000
0.064000,0.291456,8.066802,4.000000
0.065000,0.300660,8.142854,4.000000
0.066000,0.306796,8.250905,4.000000
0.067000,0.316000,8.250905,4.000000
0.068000,0.325204,8.371052,4.000000
0.069000,0.334408,8.434017,4.000000
0.070000,0.343612,8.515545,4.000000
0.071000,0.349748,8.515545,4.000000
0.072000,0.358952,8.619047,4.000000
0.073000,0.368155,8.694445,4.000000
0.074000,0.377359,8.694445,4.000000
0.075000,0.386563,8.737692,4.000000
0.076000,0.395767,8.844574,4.000000
0.077000,0.404971,8.908781,4.000000
0.078000,0.414175,8.908781,4.000000
0.079000,0.420311,8.931836,4.000000
0.080000,0.429515,9.004014,4.000000
0.081000,0.438719,9.004014,4.000000
0.082000,0.447922,9.058199,4.000000
0.083000,0.457126,9.062844,4.000000
0.084000,0.466330,9.156766,4.000000
0.085000,0.475534,9.156766,4.000000
0.086000,0.484738,9.168167,4.000000
0.087000,0.493942,9.185609,4.000000
0.088000,0.503146,9.199764,4.000000
0.089000,0.512350,9.199764,4.000000
0.090000,0.521553,9.274896,4.000000
0.091000,0.530757,9.311451,4.000000
0.092000,0.539961,9.278110,4.000000
0.093000,0.552233,9.326686,4.000000
0.094000,0.561437,9.326686,4.000000
0.095000,0.570641,9.362065,4.000000
0.096000,0.579845,9.337331,4.000000
0.097000,0.589049,9.368517,4.000000
0.098000,0.598253,9.368517,4.000000
0.099000,0.607456,9.409121,4.000000
0.100000,0.616660,9.386232,-4.000000
0.101000,0.625864,9.417846,-4.000000
0.102000,0.635068,9.417846,-4.000000
0.103000,0.641204,8.439737,-4.000000
0.104000,0.650408,9.068239,-4.000000
0.105000,0.659612,9.068239,-4.000000
0.106000,0.668816,8.469670,-4.000000
0.107000,0.674952,8.466667,-4.000000
0.108000,0.684155,8.466667,-4.000000
0.109000,0.693359,8.162035,-4.000000
0.110000,0.699495,8.062753,-4.000000
0.111000,0.708699,8.062753,-4.000000
0.112000,0.714835,7.795085,-4.000000
0.113000,0.724039,7.505270,-4.000000
0.114000,0.730175,7.505270,-4.000000
0.115000,0.736311,7.228182,-4.000000
0.116000,0.742447,7.228182,-4.000000
0.117000,0.748583,6.877392,-4.000000
0.118000,0.754719,6.877392,-4.000000
0.119000,0.763922,6.538930,-4.000000
0.120000,0.770058,6.538930,-4.000000
0.121000,0.776194,6.242655,-4.000000
0.122000,0.779262,6.242655,-4.000000
0.123000,0.785398,6.003839,-4.000000
0.124000,0.791534,6.003839,-4.000000
0.125000,0.797670,5.737300,-4.000000
0.126000,0.803806,5.737300,-4.000000
0.127000,0.806874,5.476228,-4.000000
0.128000,0.813010,5.339293,-4.000000
0.129000,0.816078,5.339293,-4.000000
0.130000,0.822214,4.974009,-4.000000
0.131000,0.825282,4.974009,-4.000000
0.132000,0.831418,4.974009,-4.000000
0.133000,0.834486,4.570047,-4.000000
0.134000,0.837554,4.570047,-4.000000
0.135000,0.843689,4.570047,-4.000000
0.136000,0.846757,4.229524,-4.000000
0.137000,0.849825,4.229524,-4.000000
0.138000,0.852893,4.229524,-4.000000
0.139000,0.859029,3.847058,-4.000000
0.140000,0.862097,3.847058,-4.000000
0.141000,0.865165,3.847058,-4.000000
0.142000,0.868233,3.847058,-4.000000
0.143000,0.871301,3.380312,-4.000000
0.144000,0.874369,3.380312,-4.000000
0.145000,0.874369,3.380312,-4.000000
0.146000,0.877437,3.380312,-4.000000
0.147000,0.880505,2.948221,-4.000000
0.148000,0.883573,2.860876,-4.000000
0.149000,0.883573,2.860876,-4.000000
0.150000,0.886641,2.860876,-4.000000
0.151000,0.889709,2.860876,-4.000000
0.152000,0.889709,2.768788,-4.000000
0.153000,0.892777,2.261437,-4.000000
0.154000,0.892777,1.907504,-4.000000
0.155000,0.895845,2.256303,-4.000000
0.156000,0.895845,2.256303,-4.000000
0.157000,0.898913,2.256303,-4.000000
0.158000,0.898913,2.256303,-4.000000
