t,theta,alpha,theta_dot,alpha_dot,voltage,mode
0.000000,-0.435651,0.346680,-0.051964,-0.054476,-6.000000,1
0.001000,-0.435651,0.346680,-0.051964,-0.054476,-6.000000,1
0.002000,-0.435651,0.346680,-0.051964,-0.054476,-6.000000,1
0.003000,-0.435651,0.346680,-0.051964,-0.054476,-6.000000,1
0.004000,-0.438719,0.349748,-0.051964,-0.175421,-6.000000,1
0.005000,-0.444854,0.349748,-0.051964,-0.175421,-6.000000,1
0.006000,-0.454058,0.349748,-0.224809,-0.175421,-6.000000,1
0.007000,-0.460194,0.349748,-7.509480,-0.175421,-6.000000,1
0.008000,-0.460194,0.349748,-7.509480,-0.175421,-6.000000,1
0.009000,-0.469398,0.346680,-5.199721,-0.175421,-6.000000,1
0.010000,-0.472466,0.346680,-6.551731,-0.175421,-6.000000,1
0.011000,-0.475534,0.346680,-6.551731,-0.175421,-6.000000,1
0.012000,-0.478602,0.343612,-5.015826,-0.175421,-6.000000,1
0.013000,-0.478602,0.343612,-5.015826,-0.175421,-6.000000,1
0.014000,-0.478602,0.343612,-5.015826,-0.175421,-6.000000,1
0.015000,-0.478602,0.343612,-5.015826,-0.175421,-6.000000,1
0.016000,-0.478602,0.343612,-5.015826,-0.175421,-6.000000,1
0.017000,-0.478602,0.343612,-5.015826,-0.175421,-6.000000,1
0.018000,-0.493942,0.340544,-3.008686,-0.893103,-6.000000,1
0.019000,-0.497010,0.340544,-2.709357,-0.893103,-6.000000,1
0.020000,-0.500078,0.337476,-2.709357,-0.893103,-6.000000,1
0.021000,-0.500078,0.337476,-2.709357,-0.893103,-6.000000,1
0.022000,-0.500078,0.337476,-2.709357,-0.893103,-6.000000,1
0.023000,-0.500078,0.337476,-2.709357,-0.893103,-6.000000,1
0.024000,-0.503146,0.337476,-2.709357,-0.893103,-6.000000,1
0.025000,-0.503146,0.337476,-2.709357,-0.893103,-6.000000,1
0.026000,-0.515418,0.334408,-2.921018,-0.893103,-6.000000,1
0.027000,-0.521553,0.331340,-3.162790,-0.893103,-6.000000,1
0.028000,-0.521553,0.331340,-3.162790,-0.893103,-6.000000,1
0.029000,-0.524621,0.328272,-3.162790,-1.207606,-6.000000,1
0.030000,-0.527689,0.328272,-3.162790,-1.207606,-6.000000,1
0.031000,-0.527689,0.328272,-3.162790,-1.207606,-6.000000,1
0.032000,-0.527689,0.328272,-3.162790,-1.207606,-6.000000,1
0.033000,-0.527689,0.328272,-3.162790,-1.207606,-6.000000,1
0.034000,-0.527689,0.328272,-3.162790,-1.207606,-6.000000,1
0.035000,-0.527689,0.328272,-3.162790,-1.207606,-6.000000,1
0.036000,-0.527689,0.328272,-3.162790,-1.207606,-6.000000,1
0.037000,-0.533825,0.325204,-3.305189,-1.207606,-6.000000,1
0.038000,-0.533825,0.325204,-3.305189,-1.207606,-6.000000,1
0.039000,-0.533825,0.325204,-3.305189,-1.207606,-6.000000,1
0.040000,-0.533825,0.325204,-3.305189,-1.207606,-6.000000,1
0.041000,-0.552233,0.316000,-3.396777,-1.542946,-6.000000,1
0.042000,-0.552233,0.316000,-3.396777,-1.542946,-6.000000,1
0.043000,-0.552233,0.316000,-3.396777,-1.542946,-6.000000,1
0.044000,-0.564505,0.309864,-3.151285,-1.542946,-6.000000,1
0.045000,-0.564505,0.309864,-3.151285,-1.542946,-6.000000,1
0.046000,-0.564505,0.309864,-3.151285,-1.542946,-6.000000,1
0.047000,-0.589049,0.297592,-3.429141,-1.687706,-6.000000,1
0.048000,-0.595185,0.294524,-3.638289,-1.687706,-6.000000,1
0.049000,-0.595185,0.294524,-3.638289,-1.687706,-6.000000,1
0.050000,-0.595185,0.294524,-3.638289,-1.687706,-6.000000,1
0.051000,-0.595185,0.294524,-3.638289,-1.687706,-6.000000,1
0.052000,-0.595185,0.294524,-3.638289,-1.687706,-6.000000,1
0.053000,-0.595185,0.294524,-3.638289,-1.687706,-6.000000,1
0.054000,-0.598253,0.291456,-3.638289,-1.995400,-6.000000,1
0.055000,-0.598253,0.291456,-3.638289,-1.995400,-6.000000,1
0.056000,-0.598253,0.291456,-3.638289,-1.995400,-6.000000,1
0.057000,-0.613592,0.282252,-3.857285,-1.995400,-6.000000,1
0.058000,-0.613592,0.282252,-3.857285,-1.995400,-6.000000,1
0.059000,-0.613592,0.282252,-3.857285,-1.995400,-6.000000,1
0.060000,-0.625864,0.276117,-4.089820,-2.283772,-6.000000,1
0.061000,-0.625864,0.276117,-4.089820,-2.283772,-6.000000,1
0.062000,-0.625864,0.276117,-4.089820,-2.283772,-6.000000,1
0.063000,-0.641204,0.266913,-4.312826,-2.576585,-6.000000,1
0.064000,-0.641204,0.266913,-4.312826,-2.576585,-6.000000,1
0.065000,-0.641204,0.266913,-4.312826,-2.576585,-6.000000,1
0.066000,-0.656544,0.260777,-4.732455,-2.576585,-6.000000,1
0.067000,-0.656544,0.260777,-4.732455,-2.576585,-6.000000,1
0.068000,-0.656544,0.260777,-4.732455,-2.576585,-6.000000,1
0.069000,-0.668816,0.251573,-4.906013,-2.772977,-6.000000,1
0.070000,-0.668816,0.251573,-4.906013,-2.772977,-6.000000,1
0.071000,-0.668816,0.251573,-4.906013,-2.772977,-6.000000,1
0.072000,-0.668816,0.251573,-4.906013,-2.772977,-6.000000,1
0.073000,-0.668816,0.251573,-4.906013,-2.772977,-6.000000,1
0.074000,-0.668816,0.251573,-4.906013,-2.772977,-6.000000,1
0.075000,-0.684155,0.242369,-5.064936,-2.912209,-5.763316,1
0.076000,-0.684155,0.242369,-5.064936,-2.912209,-5.763389,1
0.077000,-0.717903,0.223961,-5.479658,-3.015535,-5.670865,1
0.078000,-0.717903,0.223961,-5.479658,-3.015535,-5.670933,1
0.079000,-0.717903,0.223961,-5.479658,-3.015535,-5.671000,1
0.080000,-0.717903,0.223961,-5.479658,-3.015535,-5.671067,1
0.081000,-0.717903,0.223961,-5.479658,-3.015535,-5.671134,1
0.082000,-0.717903,0.223961,-5.479658,-3.015535,-5.671201,1
0.083000,-0.717903,0.223961,-5.479658,-3.015535,-5.671269,1
0.084000,-0.717903,0.223961,-5.479658,-3.015535,-5.671336,1
