t,theta,alpha,theta_dot,alpha_dot,voltage
0.186000,-1.236285,-2.425032,-0.119716,-6.377219,1.412632
0.188000,-1.236205,-2.438167,0.201356,-6.759740,1.411777
0.190000,-1.235471,-2.452077,0.534883,-7.151748,1.411900
0.192000,-1.234057,-2.466781,0.882076,-7.554250,1.413041
0.194000,-1.231933,-2.482302,1.244238,-7.968349,1.415245
0.196000,-1.229069,-2.498663,1.622772,-8.395256,1.418569
0.198000,-1.225430,-2.515892,2.019189,-8.836291,1.423079
0.200000,-1.220979,-2.534019,2.435109,-9.292901,1.428853
0.202000,-1.215675,-2.553075,2.872272,-9.766657,1.435985
0.204000,-1.209474,-2.573098,3.332529,-10.259263,1.444583
0.206000,-1.202328,-2.594127,3.817835,-10.772545,1.454771
0.208000,-1.194184,-2.616204,4.330227,-11.308439,1.466694
0.210000,-1.184987,-2.639377,4.871782,-11.868953,1.480519
0.212000,-1.174676,-2.663698,5.444545,-12.456110,1.496437
0.214000,-1.163186,-2.689221,6.050421,-13.071842,1.514668
0.216000,-1.150450,-2.716006,6.690998,-13.717833,1.535460
0.218000,-1.136397,-2.744115,7.367288,-14.395267,1.559097
0.220000,-1.120955,-2.773610,8.079351,-15.104467,1.585898
0.222000,-1.104055,-2.804554,8.825756,-15.844364,1.616216
0.224000,-1.085630,-2.837007,9.602858,-16.611783,1.650442
0.226000,-1.065625,-2.871018,10.403877,-17.400506,1.688999
0.228000,-1.044003,-2.906619,11.217810,-18.200178,1.732331
0.230000,-1.020753,-2.943818,12.028363,-18.995190,1.780884
0.232000,-0.995903,-2.982586,12.813229,-19.763910,1.835086
0.234000,-0.969532,-3.022842,13.544275,-20.478804,1.895300
0.236000,-0.941779,-3.064448,14.189296,-21.108160,1.961781
0.238000,-0.912849,-3.107201,14.715772,-21.619825,2.034614
0.240000,-0.883007,3.132349,15.096254,-21.986646,2.113668
0.242000,-0.852566,3.088139,15.313964,-22.192118,2.198560
0.244000,-0.821855,3.043683,15.366459,-22.234078,2.288665
0.246000,-0.791196,2.999298,15.265767,-22.124796,2.383154
0.248000,-0.760872,2.955263,15.035026,-21.887513,2.481079
0.250000,-0.731132,2.911822,14.687943,-21.536699,2.500000
0.252000,-0.702179,2.869173,14.253387,-21.101087,2.500000
0.254000,-0.674157,2.827455,13.761456,-20.610126,2.500000
0.256000,-0.647154,2.786753,13.237224,-20.088017,2.500000
0.258000,-0.621216,2.747111,12.700122,-19.553200,2.500000
0.260000,-0.596353,2.708540,12.164355,-19.018860,2.500000
0.262000,-0.572551,2.671029,11.639780,-18.493881,2.500000
0.264000,-0.549782,2.634554,11.132885,-17.983858,2.500000
0.266000,-0.528005,2.599082,10.647661,-17.492001,2.500000
0.268000,-0.507175,2.564573,10.186321,-17.019854,2.500000
0.270000,-0.487243,2.530989,9.749846,-16.567838,2.500000
0.272000,-0.468159,2.498288,9.338390,-16.135643,2.500000
0.274000,-0.449873,2.466433,8.951564,-15.722507,2.500000
0.276000,-0.432337,2.435386,8.588643,-15.327405,2.500000
0.278000,-0.415504,2.405113,8.248704,-14.949175,2.500000
0.280000,-0.399328,2.375579,7.930721,-14.586606,2.500000
0.282000,-0.383767,2.346756,7.633628,-14.238490,2.500000
0.284000,-0.368780,2.318616,7.356362,-13.903653,2.500000
0.286000,-0.354329,2.291134,7.097888,-13.580981,2.500000
0.288000,-0.340377,2.264285,6.857212,-13.269422,2.500000
0.290000,-0.326889,2.238049,6.633397,-12.968000,2.500000
0.292000,-0.313832,2.212407,6.425560,-12.675805,2.500000
0.294000,-0.301176,2.187340,6.232878,-12.392000,2.500000
0.296000,-0.288891,2.162834,6.054583,-12.115812,2.500000
0.298000,-0.276949,2.138873,5.889964,-11.846533,2.500000
0.300000,-0.265323,2.115444,5.738362,-11.583507,2.500000
0.302000,-0.253987,2.092535,5.599164,-11.326137,2.500000
0.304000,-0.242918,2.070136,5.471805,-11.073871,2.500000
0.306000,-0.232092,2.048236,5.355760,-10.826202,2.500000
0.308000,-0.221488,2.026828,5.250543,-10.582663,2.500000
0.310000,-0.211083,2.005903,5.155703,-10.342827,2.500000
0.312000,-0.200858,1.985455,5.070820,-10.106296,2.500000
0.314000,-0.190794,1.965476,4.995503,-9.872708,2.500000
0.316000,-0.180870,1.945962,4.929389,-9.641725,2.500000
0.318000,-0.171070,1.926908,4.872135,-9.413037,2.500000
0.320000,-0.161376,1.908308,4.823423,-9.186355,2.500000
0.322000,-0.151771,1.890161,4.782952,-8.961416,2.500000
0.324000,-0.142239,1.872462,4.750440,-8.737972,2.500000
0.326000,-0.132764,1.855208,4.725617,-8.515797,2.500000
0.328000,-0.123332,1.838398,4.708229,-8.294680,2.500000
0.330000,-0.113926,1.822029,4.698035,-8.074426,2.500000
0.332000,-0.104535,1.806100,4.694801,-7.854856,2.500000
0.334000,-0.095143,1.790609,4.698305,-7.635804,2.500000
0.336000,-0.085737,1.775556,4.708333,-7.417115,2.500000
0.338000,-0.076305,1.760941,4.724676,-7.198649,2.500000
0.340000,-0.066834,1.746762,4.747131,-6.980277,2.500000
0.342000,-0.057313,1.733019,4.775502,-6.761880,2.500000
0.344000,-0.047729,1.719714,4.809594,-6.543350,2.500000
0.346000,-0.038071,1.706846,4.849216,-6.324589,2.500000
0.348000,-0.028328,1.694416,4.894180,-6.105507,2.500000
0.350000,-0.018490,1.682424,4.944299,-5.886027,2.500000
0.352000,-0.008548,1.670872,4.999387,-5.666076,2.500000
0.354000,0.001510,1.659761,5.059257,-5.445594,2.500000
0.356000,0.011692,1.649090,5.123725,-5.224527,2.500000
0.358000,0.022008,1.638863,5.192604,-5.002829,2.500000
0.360000,0.032466,1.629079,5.265707,-4.780463,2.500000
0.362000,0.043074,1.619741,5.342844,-4.557398,2.500000
0.364000,0.053840,1.610850,5.423826,-4.333613,2.500000
0.366000,0.064771,1.602407,5.508460,-4.109092,2.500000
0.368000,0.075876,1.594414,5.596552,-3.883825,2.500000
0.370000,0.087160,1.586873,5.687905,-3.657813,2.500000
0.372000,0.098629,1.579784,5.782322,-3.431059,2.500000
0.374000,0.110291,1.573149,5.879600,-3.203574,2.500000
0.376000,0.122150,1.566970,5.979538,-2.975377,2.500000
0.378000,0.133962,1.561247,5.833473,-2.748099,-2.500000
0.380000,0.145485,1.555977,5.690133,-2.521486,-2.500000
0.382000,0.156724,1.551160,5.549290,-2.295473,-2.500000
0.384000,0.167684,1.546795,5.410725,-2.069999,-2.500000
0.386000,0.178369,1.542880,5.274221,-1.845003,-2.500000
0.388000,0.188782,1.539414,5.139569,-1.620431,-2.500000
0.390000,0.198928,1.536398,5.006561,-1.396227,-2.500000
0.392000,0.208809,1.533829,4.874995,-1.172340,-2.500000
0.394000,0.218429,1.531708,4.744673,-0.948720,-2.500000
0.396000,0.227789,1.530034,4.615397,-0.725316,-2.500000
0.398000,0.236891,1.528807,4.486974,-0.502080,-2.500000
0.400000,0.245737,1.528026,4.359213,-0.278964,-2.500000
0.402000,0.254328,1.527691,4.231924,-0.055922,-2.500000
0.404000,0.262665,1.527802,4.104922,0.167096,-2.500000
0.406000,0.270997,1.528370,4.226804,0.400369,2.500000
0.408000,0.279572,1.529404,4.348044,0.633545,2.500000
0.410000,0.288388,1.530904,4.468435,0.866562,2.500000
0.412000,0.297445,1.532870,4.587771,1.099359,2.500000
0.414000,0.306739,1.535301,4.705851,1.331877,2.500000
0.416000,0.316267,1.538197,4.822476,1.564057,2.500000
0.418000,0.326027,1.541557,4.937450,1.795843,2.500000
0.420000,0.336016,1.545380,5.050582,2.027180,2.500000
0.422000,0.346228,1.549665,5.161684,2.258019,2.500000
0.424000,0.356661,1.554412,5.270573,2.488309,2.500000
0.426000,0.367309,1.559618,5.377072,2.718005,2.500000
0.428000,0.378168,1.565283,5.481006,2.947067,2.500000
0.430000,0.389231,1.571406,5.582207,3.175456,2.500000
0.432000,0.400246,1.577985,5.432066,3.404062,-2.500000
0.434000,0.410958,1.585023,5.279346,3.633571,-2.500000
0.436000,0.421362,1.592520,5.123846,3.864081,-2.500000
0.438000,0.431451,1.600480,4.965354,4.095695,-2.500000
0.440000,0.441221,1.608904,4.803658,4.328528,-2.500000
0.442000,0.450664,1.617795,4.638536,4.562699,-2.500000
0.444000,0.459773,1.627156,4.469756,4.798337,-2.500000
0.446000,0.468540,1.636989,4.297079,5.035583,-2.500000
0.448000,0.476958,1.647299,4.120258,5.274583,-2.500000
0.450000,0.485018,1.658089,3.939029,5.515500,-2.500000
0.452000,0.492711,1.669363,3.753121,5.758505,-2.500000
0.454000,0.500027,1.681125,3.562245,6.003785,-2.500000
0.456000,0.506957,1.693379,3.366097,6.251541,-2.500000
0.458000,0.513488,1.706132,3.164355,6.501989,-2.500000
0.460000,0.519610,1.719389,2.956677,6.755363,-2.500000
0.462000,0.525310,1.733156,2.742701,7.011917,-2.500000
0.464000,0.530576,1.747439,2.522038,7.271926,-2.500000
0.466000,0.535394,1.762246,2.294272,7.535689,-2.500000
0.468000,0.539748,1.777585,2.058957,7.803530,-2.500000
0.470000,0.543624,1.793463,1.815612,8.075804,-2.500000
0.472000,0.547005,1.809891,1.563720,8.352897,-2.500000
0.474000,0.549873,1.826878,1.302720,8.635231,-2.500000
0.476000,0.552210,1.844436,1.032002,8.923269,-2.500000
0.478000,0.553994,1.862576,0.750906,9.217520,-2.500000
0.480000,0.555206,1.881311,0.458710,9.518545,-2.500000
0.482000,0.555821,1.900655,0.154624,9.826961,-2.500000
0.484000,0.555816,1.920624,-0.162216,10.143451,-2.500000
0.486000,0.555163,1.941234,-0.492761,10.468775,-2.500000
0.488000,0.553835,1.962505,-0.838059,10.803777,-2.500000
0.490000,0.551800,1.984457,-1.199268,11.149396,-2.500000
0.492000,0.549026,2.007111,-1.577670,11.506687,-2.500000
0.494000,0.545477,2.030492,-1.974693,11.876832,-2.500000
0.496000,0.541114,2.054627,-2.391926,12.261160,-2.500000
0.498000,0.535895,2.079547,-2.831146,12.661177,-2.500000
0.500000,0.529774,2.105284,-3.294346,13.078586,-2.500000
0.502000,0.522700,2.131874,-3.783767,13.515325,-2.500000
