t,theta,alpha,theta_dot,alpha_dot,voltage
0.000000,0.002296,-3.141844,-0.000000,0.000000,0.000000
0.002000,-0.004279,-3.141996,-0.553429,0.531437,-2.500000
0.004000,-0.004482,-3.143587,-1.101016,1.057021,-2.500000
0.006000,-0.002698,-3.134145,-1.642088,1.575868,-2.500000
0.008000,-0.009853,-3.140905,-2.175918,2.087041,-2.500000
0.010000,-0.014874,-3.123894,-2.701692,2.589529,-2.500000
0.012000,-0.024678,-3.123017,-3.218489,3.082218,-2.500000
0.014000,-0.030286,-3.118821,-3.725265,3.563886,-2.500000
0.016000,-0.035831,-3.111351,-4.220843,4.033190,-2.500000
0.018000,-0.042663,-3.097317,-4.703917,4.488669,-2.500000
0.020000,-0.051789,-3.089953,-5.173065,4.928761,-2.500000
0.022000,-0.066786,-3.081026,-5.626764,5.351823,-2.500000
0.024000,-0.077003,-3.069455,-6.063432,5.756164,-2.500000
0.026000,-0.092858,-3.051887,-6.481463,6.140093,-2.500000
0.028000,-0.099608,-3.042322,-6.879287,6.501966,-2.500000
0.030000,-0.114115,-3.033912,-7.255420,6.840247,-2.500000
0.032000,-0.130845,-3.014257,-7.608529,7.153566,-2.500000
0.034000,-0.147154,-3.002356,-7.937489,7.440776,-2.500000
0.036000,-0.163240,-2.989904,-8.241433,7.701003,-2.500000
0.038000,-0.178834,-2.972438,-8.519794,7.933684,-2.500000
0.040000,-0.198131,-2.956905,-8.772329,8.138592,-2.500000
0.042000,-0.212952,-2.940641,-8.999132,8.315840,-2.500000
0.044000,-0.226393,-2.926302,-9.200628,8.465876,-2.500000
0.046000,-0.253699,-2.900501,-9.377548,8.589456,-2.500000
0.048000,-0.273654,-2.883684,-9.530899,8.687609,-2.500000
0.050000,-0.286806,-2.864965,-9.661917,8.761588,-2.500000
0.052000,-0.306243,-2.856496,-9.772018,8.812819,-2.500000
0.054000,-0.324195,-2.835699,-9.862749,8.842852,-2.500000
0.056000,-0.348706,-2.815594,-9.935737,8.853309,-2.500000
0.058000,-0.372764,-2.798891,-9.992645,8.845836,-2.500000
0.060000,-0.386940,-2.784482,-10.035128,8.822066,-2.500000
0.062000,-0.404436,-2.766413,-10.064806,8.783589,-2.500000
0.064000,-0.429245,-2.744848,-10.083234,8.731922,-2.500000
0.066000,-0.450934,-2.730522,-10.091886,8.668496,-2.500000
0.068000,-0.472120,-2.714261,-10.092140,8.594639,-2.500000
0.070000,-0.490795,-2.695647,-10.085270,8.511578,-2.500000
0.072000,-0.507896,-2.681732,-10.072445,8.420426,-2.500000
0.074000,-0.529568,-2.666177,-10.054725,8.322195,-2.500000
0.076000,-0.553163,-2.645021,-10.033070,8.217789,-2.500000
