t,theta,alpha,theta_dot,alpha_dot,voltage
0.000000,0.000407,-3.141056,-0.000000,0.000000,0.000000
0.002000,-0.000043,-3.141147,-0.553429,0.531437,-2.500000
0.004000,-0.001453,-3.138636,-1.101016,1.057021,-2.500000
0.006000,-0.005644,-3.137260,-1.642088,1.575868,-2.500000
0.008000,-0.008390,-3.133878,-2.175918,2.087041,-2.500000
0.010000,-0.014087,-3.129724,-2.701692,2.589529,-2.500000
0.012000,-0.020064,-3.122147,-3.218489,3.082218,-2.500000
0.014000,-0.027631,-3.116294,-3.725265,3.563886,-2.500000
0.016000,-0.034510,-3.110457,-4.220843,4.033190,-2.500000
0.018000,-0.044602,-3.100110,-4.703917,4.488669,-2.500000
0.020000,-0.053514,-3.090108,-5.173065,4.928761,-2.500000
0.022000,-0.062556,-3.080574,-5.626764,5.351823,-2.500000
0.024000,-0.074074,-3.068695,-6.063432,5.756164,-2.500000
0.026000,-0.089802,-3.056351,-6.481463,6.140093,-2.500000
0.028000,-0.101649,-3.045532,-6.879287,6.501966,-2.500000
0.030000,-0.115004,-3.030595,-7.255420,6.840247,-2.500000
0.032000,-0.130136,-3.016558,-7.608529,7.153566,-2.500000
0.034000,-0.147459,-3.002302,-7.937489,7.440776,-2.500000
0.036000,-0.163465,-2.987670,-8.241433,7.701003,-2.500000
0.038000,-0.181476,-2.972922,-8.519794,7.933684,-2.500000
0.040000,-0.196155,-2.955822,-8.772329,8.138592,-2.500000
0.042000,-0.213855,-2.939042,-8.999132,8.315840,-2.500000
0.044000,-0.233186,-2.922362,-9.200628,8.465876,-2.500000
0.046000,-0.251877,-2.905741,-9.377548,8.589456,-2.500000
0.048000,-0.270388,-2.886870,-9.530899,8.687609,-2.500000
0.050000,-0.290011,-2.871179,-9.661917,8.761588,-2.500000
0.052000,-0.310626,-2.853719,-9.772018,8.812819,-2.500000
0.054000,-0.327672,-2.836139,-9.862749,8.842852,-2.500000
0.056000,-0.348110,-2.816400,-9.935737,8.853309,-2.500000
0.058000,-0.367765,-2.801348,-9.992645,8.845836,-2.500000
0.060000,-0.386893,-2.781385,-10.035128,8.822066,-2.500000
0.062000,-0.407334,-2.763938,-10.064806,8.783589,-2.500000
0.064000,-0.428281,-2.748334,-10.083234,8.731922,-2.500000
0.066000,-0.448016,-2.729659,-10.091886,8.668496,-2.500000
0.068000,-0.468815,-2.713257,-10.092140,8.594639,-2.500000
0.070000,-0.489314,-2.695736,-10.085270,8.511578,-2.500000
0.072000,-0.509283,-2.679902,-10.072445,8.420426,-2.500000
0.074000,-0.526738,-2.662501,-10.054725,8.322195,-2.500000
0.076000,-0.548893,-2.645532,-10.033070,8.217789,-2.500000
0.078000,-0.568224,-2.628547,-10.008339,8.108016,-2.500000
0.080000,-0.589750,-2.613246,-9.981297,7.993594,-2.500000
0.082000,-0.609248,-2.597649,-9.952624,7.875156,-2.500000
0.084000,-0.628673,-2.580226,-9.922920,7.753259,-2.500000
0.086000,-0.649896,-2.566315,-9.892712,7.628390,-2.500000
0.088000,-0.667848,-2.549224,-9.862460,7.500974,-2.500000
0.090000,-0.686723,-2.536088,-9.832566,7.371383,-2.500000
0.092000,-0.709817,-2.520759,-9.803377,7.239937,-2.500000
0.094000,-0.727178,-2.506527,-9.775195,7.106913,-2.500000
0.096000,-0.746212,-2.491625,-9.748277,6.972552,-2.500000
0.098000,-0.766252,-2.477890,-9.722843,6.837060,-2.500000
0.100000,-0.785665,-2.465137,-9.699081,6.700613,-2.500000
0.102000,-0.805931,-2.453471,-9.464673,6.404522,-0.199532
0.104000,-0.823170,-2.441731,-9.235868,6.111174,-0.146956
0.106000,-0.841026,-2.428809,-9.012953,5.820787,-0.101863
0.108000,-0.860365,-2.416739,-8.795338,5.532937,-0.054795
0.110000,-0.877128,-2.406367,-8.582246,5.247079,-0.003407
0.112000,-0.894133,-2.396003,-8.373851,4.963355,0.041483
0.114000,-0.908781,-2.385070,-8.169671,4.681441,0.087348
0.116000,-0.925693,-2.377678,-7.969819,4.401440,0.127124
0.118000,-0.942606,-2.367722,-7.773361,4.122723,0.173353
0.120000,-0.958217,-2.362838,-7.579890,3.845041,0.219913
0.122000,-0.971515,-2.353397,-7.389300,3.568350,0.263178
0.124000,-0.986074,-2.345951,-7.201712,3.292764,0.300253
0.126000,-1.002903,-2.340764,-7.016442,3.017851,0.341075
0.128000,-1.014281,-2.334701,-6.832590,2.743045,0.388568
0.130000,-1.030283,-2.329442,-6.650994,2.468938,0.420861
0.132000,-1.041802,-2.326049,-6.470229,2.194621,0.466529
0.134000,-1.056019,-2.320549,-6.290918,1.920541,0.499582
0.136000,-1.066202,-2.315245,-6.112072,1.646085,0.540590
0.138000,-1.078092,-2.314694,-5.934214,1.371629,0.570104
0.140000,-1.091951,-2.310478,-5.756577,1.096708,0.604716
0.142000,-1.100270,-2.309116,-5.578335,0.820821,0.645261
0.144000,-1.112906,-2.307878,-5.400351,0.544559,0.669707
0.146000,-1.125613,-2.307518,-5.221262,0.267075,0.706988
0.148000,-1.134671,-2.307788,-5.040660,-0.011868,0.744665
0.150000,-1.143348,-2.308670,-4.796485,-0.332335,1.589241
0.152000,-1.153624,-2.308577,-4.554214,-0.652166,1.572548
0.154000,-1.163254,-2.310114,-4.313507,-0.971558,1.553149
0.156000,-1.169647,-2.310433,-4.073696,-1.290917,1.535336
0.158000,-1.178090,-2.314191,-3.833765,-1.610880,1.523705
