t,theta,alpha,theta_dot,alpha_dot,voltage
0.000000,0.000000,-3.141593,-0.000000,0.000000,0.000000
0.002000,-0.000887,-3.140741,-0.885486,0.850299,-4.000000
0.004000,-0.003536,-3.138198,-1.761600,1.691209,-4.000000
0.006000,-0.007926,-3.133983,-2.627149,2.521205,-4.000000
0.008000,-0.014036,-3.128121,-3.480675,3.338507,-4.000000
0.010000,-0.021840,-3.120639,-4.320332,4.140977,-4.000000
0.012000,-0.031307,-3.111569,-5.143801,4.926031,-4.000000
0.014000,-0.042402,-3.100949,-5.948235,5.690593,-4.000000
0.016000,-0.055085,-3.088823,-6.730250,6.431090,-4.000000
0.018000,-0.069306,-3.075243,-7.485966,7.143502,-4.000000
0.020000,-0.085008,-3.060270,-8.211117,7.823467,-4.000000
0.022000,-0.102127,-3.043974,-8.901213,8.466452,-4.000000
0.024000,-0.120587,-3.026432,-9.551762,9.067977,-4.000000
0.026000,-0.140305,-3.007732,-10.158538,9.623871,-4.000000
0.028000,-0.161189,-2.987970,-10.717850,10.130550,-4.000000
0.030000,-0.183143,-2.967245,-11.226804,10.585262,-4.000000
0.032000,-0.206062,-2.945664,-11.683504,10.986282,-4.000000
0.034000,-0.229841,-2.923336,-12.087185,11.333028,-4.000000
0.036000,-0.254375,-2.900368,-12.438238,11.626077,-4.000000
0.038000,-0.279560,-2.876866,-12.738157,11.867093,-4.000000
0.040000,-0.305295,-2.852933,-12.989397,12.058674,-4.000000
0.042000,-0.331487,-2.828662,-13.195184,12.204146,-4.000000
0.044000,-0.358048,-2.804144,-13.359291,12.307342,-4.000000
0.046000,-0.384899,-2.779458,-13.485825,12.372378,-4.000000
0.048000,-0.411969,-2.754677,-13.579026,12.403450,-4.000000
0.050000,-0.439196,-2.729865,-13.643098,12.404677,-4.000000
0.052000,-0.466525,-2.705076,-13.682085,12.379976,-4.000000
0.054000,-0.493910,-2.680360,-13.699781,12.332977,-4.000000
0.056000,-0.521312,-2.655757,-13.699673,12.266980,-4.000000
0.058000,-0.548699,-2.631302,-13.684914,12.184928,-4.000000
0.060000,-0.576044,-2.607026,-13.658318,12.089412,-4.000000
0.062000,-0.603326,-2.582952,-13.622365,11.982683,-4.000000
0.064000,-0.630529,-2.559101,-13.579226,11.866680,-4.000000
0.066000,-0.657640,-2.535490,-13.530783,11.743052,-4.000000
0.068000,-0.684650,-2.512133,-13.478660,11.613197,-4.000000
0.070000,-0.711553,-2.489041,-13.424248,11.478286,-4.000000
0.072000,-0.738346,-2.466223,-13.368737,11.339297,-4.000000
0.074000,-0.765028,-2.443686,-13.313137,11.197040,-4.000000
0.076000,-0.791599,-2.421436,-13.258306,11.052179,-4.000000
0.078000,-0.818062,-2.399479,-13.204966,10.905259,-4.000000
0.080000,-0.844420,-2.377816,-13.153728,10.756719,-4.000000
0.082000,-0.870678,-2.356453,-13.105104,10.606913,-4.000000
0.084000,-0.896843,-2.335389,-13.059520,10.456119,-4.000000
0.086000,-0.922919,-2.314629,-13.017334,10.304557,-4.000000
0.088000,-0.948914,-2.294172,-12.978841,10.152393,-4.000000
0.090000,-0.974837,-2.274019,-12.944285,9.999753,-4.000000
0.092000,-1.000694,-2.254173,-12.913866,9.846726,-4.000000
0.094000,-1.026495,-2.234633,-12.887745,9.693371,-4.000000
0.096000,-1.052248,-2.215400,-12.866054,9.539726,-4.000000
0.098000,-1.077720,-2.196613,-12.608500,9.248095,-0.448806
0.100000,-1.102685,-2.178406,-12.358902,8.960140,-0.356795
0.102000,-1.127159,-2.160771,-12.116840,8.675556,-0.265895
0.104000,-1.151156,-2.143703,-11.881905,8.394059,-0.176090
0.106000,-1.174689,-2.127194,-11.653698,8.115385,-0.087370
0.108000,-1.197773,-2.111240,-11.431830,7.839285,0.000280
0.110000,-1.220419,-2.095836,-11.215921,7.565530,0.086870
0.112000,-1.242638,-2.080978,-11.005601,7.293905,0.172411
0.114000,-1.264443,-2.066660,-10.800511,7.024210,0.256914
0.116000,-1.285842,-2.052880,-10.600302,6.756262,0.340388
0.118000,-1.306845,-2.039635,-10.404634,6.489888,0.422840
