t,theta,alpha,theta_dot,alpha_dot,voltage
0.000000,0.001154,-3.141823,-0.000000,0.000000,0.000000
0.002000,-0.002259,-3.141366,-0.553429,0.531437,-2.500000
0.004000,-0.002591,-3.140138,-1.101016,1.057021,-2.500000
0.006000,-0.004868,-3.138055,-1.642088,1.575868,-2.500000
0.008000,-0.010372,-3.135584,-2.175918,2.087041,-2.500000
0.010000,-0.014819,-3.130018,-2.701692,2.589529,-2.500000
0.012000,-0.019668,-3.122788,-3.218489,3.082218,-2.500000
0.014000,-0.025494,-3.116039,-3.725265,3.563886,-2.500000
0.016000,-0.034472,-3.110680,-4.220843,4.033190,-2.500000
0.018000,-0.042485,-3.098924,-4.703917,4.488669,-2.500000
0.020000,-0.053489,-3.091989,-5.173065,4.928761,-2.500000
0.022000,-0.063549,-3.080066,-5.626764,5.351823,-2.500000
0.024000,-0.074591,-3.069549,-6.063432,5.756164,-2.500000
0.026000,-0.088743,-3.057454,-6.481463,6.140093,-2.500000
0.028000,-0.103007,-3.044803,-6.879287,6.501966,-2.500000
0.030000,-0.115046,-3.031214,-7.255420,6.840247,-2.500000
0.032000,-0.131172,-3.015800,-7.608529,7.153566,-2.500000
0.034000,-0.145724,-3.002216,-7.937489,7.440776,-2.500000
0.036000,-0.162815,-2.987795,-8.241433,7.701003,-2.500000
0.038000,-0.178154,-2.970788,-8.519794,7.933684,-2.500000
0.040000,-0.196321,-2.955694,-8.772329,8.138592,-2.500000
0.042000,-0.213687,-2.938009,-8.999132,8.315840,-2.500000
0.044000,-0.231009,-2.923134,-9.200628,8.465876,-2.500000
0.046000,-0.250616,-2.906190,-9.377548,8.589456,-2.500000
0.048000,-0.270085,-2.889058,-9.530899,8.687609,-2.500000
0.050000,-0.288096,-2.869382,-9.661917,8.761588,-2.500000
0.052000,-0.310372,-2.855121,-9.772018,8.812819,-2.500000
0.054000,-0.328340,-2.835474,-9.862749,8.842852,-2.500000
0.056000,-0.347189,-2.816635,-9.935737,8.853309,-2.500000
0.058000,-0.369318,-2.800192,-9.992645,8.845836,-2.500000
0.060000,-0.389369,-2.784647,-10.035128,8.822066,-2.500000
0.062000,-0.406854,-2.765558,-10.064806,8.783589,-2.500000
0.064000,-0.429234,-2.746811,-10.083234,8.731922,-2.500000
0.066000,-0.451060,-2.729107,-10.091886,8.668496,-2.500000
0.068000,-0.468398,-2.713895,-10.092140,8.594639,-2.500000
0.070000,-0.489529,-2.697027,-10.085270,8.511578,-2.500000
0.072000,-0.511467,-2.677959,-10.072445,8.420426,-2.500000
0.074000,-0.529910,-2.662062,-10.054725,8.322195,-2.500000
0.076000,-0.549763,-2.646101,-10.033070,8.217789,-2.500000
0.078000,-0.569382,-2.629116,-10.008339,8.108016,-2.500000
0.080000,-0.588223,-2.612314,-9.981297,7.993594,-2.500000
0.082000,-0.608285,-2.596549,-9.952624,7.875156,-2.500000
0.084000,-0.629338,-2.581453,-9.922920,7.753259,-2.500000
0.086000,-0.648328,-2.564900,-9.892712,7.628390,-2.500000
0.088000,-0.667796,-2.550915,-9.862460,7.500974,-2.500000
0.090000,-0.687072,-2.536674,-9.832566,7.371383,-2.500000
0.092000,-0.706621,-2.522087,-9.803377,7.239937,-2.500000
0.094000,-0.728949,-2.506974,-9.775195,7.106913,-2.500000
0.096000,-0.748576,-2.493222,-9.748277,6.972552,-2.500000
0.098000,-0.767163,-2.480250,-9.722843,6.837060,-2.500000
0.100000,-0.784649,-2.466161,-9.699081,6.700613,-2.500000
0.102000,-0.805368,-2.452721,-9.677146,6.563364,-2.500000
0.104000,-0.823449,-2.438552,-9.443905,6.267716,-0.148424
0.106000,-0.842624,-2.426728,-9.216681,5.975106,-0.101129
0.108000,-0.861760,-2.416293,-8.994767,5.685026,-0.050565
0.110000,-0.879709,-2.403728,-8.777735,5.397178,0.000315
0.112000,-0.896308,-2.395566,-8.565425,5.111463,0.048424
0.114000,-0.914614,-2.383639,-8.357712,4.827809,0.093239
0.116000,-0.929857,-2.375012,-8.153774,4.545661,0.143032
0.118000,-0.945923,-2.365792,-7.953889,4.265234,0.184785
0.120000,-0.961390,-2.358750,-7.757447,3.986132,0.229080
0.122000,-0.975827,-2.349756,-7.564168,3.708193,0.272007
0.124000,-0.992819,-2.341334,-7.373878,3.431324,0.312317
0.126000,-1.005511,-2.335848,-7.185599,3.154903,0.360071
0.128000,-1.020702,-2.330750,-6.999901,2.879341,0.395955
0.130000,-1.034519,-2.325909,-6.815826,2.604037,0.439149
0.132000,-1.048335,-2.319479,-6.633294,2.328970,0.478665
0.134000,-1.061180,-2.318417,-6.451916,2.053921,0.518398
0.136000,-1.071870,-2.312423,-6.271522,1.778814,0.555534
0.138000,-1.087101,-2.306423,-6.092208,1.503744,0.586581
0.140000,-1.099292,-2.305631,-5.912573,1.227840,0.631046
0.142000,-1.110279,-2.302930,-5.732912,0.951325,0.666830
0.144000,-1.122069,-2.302904,-5.553108,0.674156,0.699224
0.146000,-1.131746,-2.300847,-5.372590,0.395998,0.734140
0.148000,-1.142400,-2.299759,-5.191440,0.116934,0.762916
0.150000,-1.153433,-2.299675,-5.009040,-0.163405,0.794722
0.152000,-1.161085,-2.302242,-4.769842,-0.480626,1.553506
0.154000,-1.171781,-2.301435,-4.532091,-0.797501,1.539317
0.156000,-1.180681,-2.304246,-4.295652,-1.114095,1.519857
0.158000,-1.188981,-2.307643,-4.059720,-1.430900,1.504001
0.160000,-1.195417,-2.310214,-3.823664,-1.748303,1.489484
0.162000,-1.204153,-2.313823,-3.586685,-2.066800,1.478410
0.164000,-1.210044,-2.318915,-3.348532,-2.386539,1.463630
0.166000,-1.216300,-2.320649,-3.108271,-2.708116,1.453828
0.168000,-1.225577,-2.328836,-2.865378,-3.031866,1.443563
0.170000,-1.229423,-2.335933,-2.619648,-3.357919,1.428619
0.172000,-1.232926,-2.343280,-2.369793,-3.687132,1.422519
0.174000,-1.240449,-2.349779,-2.115145,-4.019960,1.417013
0.176000,-1.241227,-2.358966,-1.855556,-4.356518,1.405345
0.178000,-1.246592,-2.367526,-1.589504,-4.697862,1.404152
0.180000,-1.249060,-2.377733,-1.316848,-5.044122,1.395979
0.182000,-1.253263,-2.388642,-1.036471,-5.396111,1.392257
0.184000,-1.254163,-2.398109,-0.747794,-5.754281,1.385971
0.186000,-1.251839,-2.410221,-0.449550,-6.119589,1.384633
0.188000,-1.255776,-2.423573,-0.140403,-6.493066,1.388093
0.190000,-1.254348,-2.436645,0.179800,-6.874912,1.382244
0.192000,-1.255603,-2.450972,0.512809,-7.266502,1.384359
0.194000,-1.251845,-2.464667,0.859383,-7.668514,1.382501
0.196000,-1.251309,-2.482283,1.221424,-8.082503,1.388084
0.198000,-1.248890,-2.496680,1.599782,-8.509266,1.388885
0.200000,-1.244132,-2.515829,1.996121,-8.950244,1.392512
0.202000,-1.240734,-2.534804,2.412301,-9.407073,1.399713
0.204000,-1.233676,-2.551884,2.849718,-9.881062,1.404907
0.206000,-1.228485,-2.575090,3.310682,-10.374283,1.415840
0.208000,-1.222057,-2.594854,3.796674,-10.888187,1.424001
0.210000,-1.213044,-2.616742,4.309745,-11.424723,1.434250
0.212000,-1.203452,-2.642151,4.852246,-11.986128,1.448887
0.214000,-1.192809,-2.664377,5.426103,-12.574331,1.464805
0.216000,-1.184137,-2.690541,6.033156,-13.191212,1.482878
0.218000,-1.168812,-2.717079,6.674140,-13.837712,1.497924
0.220000,-1.154589,-2.745173,7.351226,-14.516017,1.525215
0.222000,-1.140752,-2.775377,8.063712,-15.225776,1.551347
0.224000,-1.123417,-2.808172,8.809352,-15.965171,1.577511
0.226000,-1.103967,-2.840561,9.584705,-16.731177,1.611321
0.228000,-1.085959,-2.875005,10.382735,-17.517314,1.650623
0.230000,-1.063092,-2.909795,11.190702,-18.311571,1.688299
0.232000,-1.040225,-2.946717,11.992848,-19.098781,1.737926
0.234000,-1.014575,-2.987139,12.765517,-19.855983,1.789552
0.236000,-0.989362,-3.027595,13.480624,-20.555634,1.849835
0.238000,-0.961853,-3.068903,14.104853,-21.164923,1.911542
0.240000,-0.933345,-3.111832,14.606643,-21.652601,1.981639
0.242000,-0.903680,3.128842,14.959679,-21.992625,2.057330
0.244000,-0.872835,3.083885,15.149150,-22.170431,2.139390
0.246000,-0.843129,3.041767,15.174973,-22.186182,2.228277
0.248000,-0.811870,2.996957,15.049962,-22.052949,2.317318
0.250000,-0.781938,2.952198,14.799331,-21.795969,2.414654
0.252000,-0.754451,2.909809,14.449623,-21.441780,2.500000
0.254000,-0.725228,2.867222,14.015413,-21.005569,2.500000
0.256000,-0.697354,2.824821,13.526116,-20.516108,2.500000
0.258000,-0.671597,2.784203,13.006123,-19.996930,2.500000
0.260000,-0.645361,2.742167,12.474277,-19.465907,2.500000
0.262000,-0.619051,2.705672,11.944324,-18.935795,2.500000
0.264000,-0.596926,2.669361,11.425795,-18.415171,2.500000
0.266000,-0.575210,2.632011,10.924949,-17.909432,2.500000
0.268000,-0.554482,2.596396,10.445634,-17.421665,2.500000
0.270000,-0.532306,2.560399,9.989977,-16.953347,2.500000
0.272000,-0.512140,2.529235,9.558911,-16.504868,2.500000
0.274000,-0.495040,2.496747,9.152568,-16.075910,2.500000
0.276000,-0.477143,2.464846,8.770556,-15.665718,2.500000
0.278000,-0.460034,2.432375,8.412156,-15.273281,2.500000
0.280000,-0.445407,2.403783,8.076459,-14.897458,2.500000
0.282000,-0.426145,2.374273,7.762453,-14.537058,2.500000
0.284000,-0.412349,2.345714,7.469090,-14.190893,2.500000
0.286000,-0.394955,2.316444,7.195324,-13.857811,2.500000
0.288000,-0.382300,2.289080,6.940136,-13.536716,2.500000
0.290000,-0.368784,2.263924,6.702551,-13.226575,2.500000
0.292000,-0.355227,2.236191,6.481644,-12.926425,2.500000
0.294000,-0.344481,2.213246,6.276548,-12.635373,2.500000
0.296000,-0.331892,2.187648,6.086451,-12.352596,2.500000
0.298000,-0.320182,2.163715,5.910599,-12.077331,2.500000
0.300000,-0.307374,2.137225,5.748289,-11.808879,2.500000
0.302000,-0.296360,2.115024,5.598872,-11.546598,2.500000
0.304000,-0.286550,2.093006,5.461746,-11.289895,2.500000
0.306000,-0.275506,2.071554,5.336351,-11.038227,2.500000
0.308000,-0.265525,2.049036,5.222171,-10.791095,2.500000
0.310000,-0.254591,2.026698,5.118727,-10.548038,2.500000
0.312000,-0.244888,2.004913,5.025571,-10.308633,2.500000
0.314000,-0.233910,1.985966,4.942291,-10.072489,2.500000
0.316000,-0.223708,1.966145,4.868500,-9.839247,2.500000
0.318000,-0.214809,1.946831,4.803838,-9.608574,2.500000
0.320000,-0.204420,1.925238,4.747968,-9.380164,2.500000
0.322000,-0.195631,1.909275,4.700575,-9.153731,2.500000
0.324000,-0.185765,1.888728,4.661360,-8.929015,2.500000
0.326000,-0.176849,1.872081,4.630044,-8.705772,2.500000
0.328000,-0.167357,1.856479,4.606362,-8.483778,2.500000
0.330000,-0.156234,1.838739,4.590061,-8.262825,2.500000
0.332000,-0.149602,1.824035,4.580901,-8.042720,2.500000
0.334000,-0.140862,1.806222,4.578651,-7.823286,2.500000
0.336000,-0.131258,1.790290,4.583092,-7.604358,2.500000
0.338000,-0.121580,1.777292,4.594008,-7.385787,2.500000
0.340000,-0.111601,1.762524,4.611195,-7.167431,2.500000
0.342000,-0.103665,1.747152,4.634450,-6.949164,2.500000
0.344000,-0.093745,1.732852,4.663578,-6.730868,2.500000
0.346000,-0.083874,1.721462,4.698385,-6.512437,2.500000
0.348000,-0.075927,1.706671,4.738682,-6.293774,2.500000
0.350000,-0.066103,1.695839,4.784280,-6.074793,2.500000
0.352000,-0.056531,1.683891,4.834995,-5.855414,2.500000
0.354000,-0.044857,1.672759,4.890640,-5.635569,2.500000
0.356000,-0.036955,1.661671,4.951031,-5.415197,2.500000
0.358000,-0.025040,1.648120,5.015982,-5.194245,2.500000
0.360000,-0.017047,1.639254,5.085307,-4.972669,2.500000
0.362000,-0.006533,1.629890,5.158821,-4.750432,2.500000
0.364000,0.003721,1.622288,5.236334,-4.527506,2.500000
0.366000,0.014521,1.612539,5.317657,-4.303868,2.500000
0.368000,0.024959,1.605243,5.402598,-4.079504,2.500000
0.370000,0.036023,1.596985,5.490964,-3.854405,2.500000
0.372000,0.048163,1.588226,5.582558,-3.628571,2.500000
0.374000,0.060291,1.581985,5.677184,-3.402008,2.500000
0.376000,0.068843,1.576179,5.774640,-3.174726,2.500000
0.378000,0.080726,1.568888,5.874724,-2.946743,2.500000
0.380000,0.095235,1.562814,5.728782,-2.719225,-2.500000
0.382000,0.103693,1.558834,5.585543,-2.492369,-2.500000
0.384000,0.116769,1.553251,5.444780,-2.266109,-2.500000
0.386000,0.128504,1.549811,5.306274,-2.040383,-2.500000
0.388000,0.138653,1.546318,5.169807,-1.815132,-2.500000
0.390000,0.147514,1.540478,5.035171,-1.590300,-2.500000
0.392000,0.157940,1.538924,4.902158,-1.365831,-2.500000
0.394000,0.165725,1.535801,4.770565,-1.141673,-2.500000
0.396000,0.177315,1.534510,4.640193,-0.917775,-2.500000
0.398000,0.184525,1.533824,4.510845,-0.694088,-2.500000
0.400000,0.196521,1.532128,4.382327,-0.470562,-2.500000
0.402000,0.203991,1.530836,4.254449,-0.247150,-2.500000
0.404000,0.212349,1.530416,4.127019,-0.023803,-2.500000
0.406000,0.219155,1.529387,3.999851,0.199528,-2.500000
0.408000,0.227080,1.531717,4.121498,0.432448,2.500000
0.410000,0.236570,1.531860,4.242477,0.665263,2.500000
0.412000,0.245308,1.535344,4.362584,0.897911,2.500000
0.414000,0.252571,1.535307,4.481614,1.130332,2.500000
0.416000,0.261763,1.538964,4.599366,1.362468,2.500000
0.418000,0.272610,1.539906,4.715642,1.594260,2.500000
0.420000,0.280170,1.543060,4.830248,1.825654,2.500000
0.422000,0.289005,1.550587,4.942994,2.056596,2.500000
0.424000,0.301925,1.550532,5.053694,2.287037,2.500000
0.426000,0.311828,1.556320,5.162165,2.516928,2.500000
0.428000,0.321685,1.562094,5.268229,2.746226,2.500000
0.430000,0.333498,1.569382,5.371716,2.974890,2.500000
0.432000,0.342822,1.575492,5.472457,3.202884,2.500000
0.434000,0.353703,1.581034,5.321831,3.431956,-2.500000
0.436000,0.364533,1.588430,5.168596,3.661952,-2.500000
0.438000,0.373875,1.595916,5.012545,3.892970,-2.500000
0.440000,0.383536,1.604879,4.853469,4.125118,-2.500000
0.442000,0.393156,1.613043,4.691150,4.358508,-2.500000
0.444000,0.403662,1.622045,4.525363,4.593265,-2.500000
0.446000,0.412596,1.631100,4.355876,4.829517,-2.500000
0.448000,0.422201,1.639879,4.182446,5.067407,-2.500000
0.450000,0.427913,1.651176,4.004822,5.307086,-2.500000
0.452000,0.436304,1.660058,3.822738,5.548716,-2.500000
0.454000,0.445833,1.674690,3.635917,5.792473,-2.500000
0.456000,0.450675,1.685759,3.444066,6.038546,-2.500000
0.458000,0.456727,1.697186,3.246878,6.287138,-2.500000
0.460000,0.464727,1.711657,3.044026,6.538469,-2.500000
0.462000,0.469936,1.725093,2.835163,6.792778,-2.500000
0.464000,0.474768,1.737144,2.619919,7.050322,-2.500000
0.466000,0.480880,1.750936,2.397899,7.311381,-2.500000
0.468000,0.485387,1.768570,2.168680,7.576259,-2.500000
0.470000,0.489454,1.782024,1.931810,7.845287,-2.500000
0.472000,0.492679,1.797206,1.686798,8.118824,-2.500000
0.474000,0.493315,1.815533,1.433116,8.397264,-2.500000
0.476000,0.499913,1.832211,1.170195,8.681039,-2.500000
0.478000,0.500894,1.848499,0.897412,8.970619,-2.500000
0.480000,0.502141,1.869535,0.614094,9.266524,-2.500000
0.482000,0.501369,1.887793,0.319505,9.569325,-2.500000
0.484000,0.501978,1.907678,0.012838,9.879655,-2.500000
0.486000,0.503242,1.925817,-0.306789,10.198210,-2.500000
0.488000,0.501625,1.948191,-0.640347,10.525767,-2.500000
0.490000,0.500088,1.967846,-0.988906,10.863189,-2.500000
0.492000,0.498293,1.991894,-1.353652,11.211440,-2.500000
0.494000,0.496072,2.012648,-1.735896,11.571597,-2.500000
0.496000,0.491777,2.035272,-2.137098,11.944874,-2.500000
0.498000,0.488192,2.061737,-2.558887,12.332634,-2.500000
0.500000,0.480819,2.085345,-3.003083,12.736422,-2.500000
0.502000,0.473720,2.112296,-3.471728,13.157987,-2.500000
0.504000,0.466634,2.140000,-3.967122,13.599324,-2.500000
0.506000,0.459442,2.166519,-4.491861,14.062707,-2.500000
0.508000,0.450242,2.196165,-5.048883,14.550747,-2.500000
0.510000,0.438498,2.222486,-5.641525,15.066444,-2.500000
0.512000,0.427337,2.253513,-6.273587,15.613263,-2.500000
0.514000,0.412953,2.288063,-6.949405,16.195212,-2.500000
0.516000,0.399009,2.319927,-7.673935,16.816940,-2.500000
0.518000,0.382859,2.354028,-8.452848,17.483850,-2.500000
0.520000,0.365249,2.389241,-9.292624,18.202220,-2.500000
0.522000,0.345024,2.426406,-10.200644,18.979330,-2.500000
0.524000,0.326706,2.464998,-11.185248,19.823576,-2.500000
0.526000,0.299063,2.505488,-12.255731,20.744529,-2.500000
0.528000,0.273100,2.548568,-13.422173,21.752875,-2.500000
0.530000,0.245801,2.594715,-14.694973,22.860072,-2.500000
0.532000,0.214283,2.642981,-16.083789,24.077473,-2.500000
0.534000,0.183943,2.689666,-17.595412,25.414414,-2.500000
0.536000,0.144430,2.742398,-19.229773,26.874456,-2.500000
0.538000,0.106441,2.797400,-20.972923,28.448579,-2.500000
0.540000,0.063319,2.854157,-22.785797,30.103991,-2.500000
0.542000,0.014539,2.918359,-24.588982,31.768586,-2.500000
0.544000,-0.035353,2.981889,-26.248742,33.316111,-2.500000
0.546000,-0.090409,3.052598,-27.579381,34.567259,-2.500000
0.548000,-0.144800,3.119605,-28.383243,35.328694,-2.500000
0.550000,-0.201837,-3.092510,-28.529226,35.471577,-2.500000
0.552000,-0.259519,-3.022787,-28.020831,35.000131,-2.500000
0.554000,-0.312260,-2.952306,-26.991540,34.046733,-2.500000
0.556000,-0.366106,-2.886631,-25.633135,32.799430,-2.500000
0.558000,-0.417781,-2.820515,-24.121680,31.428011,-2.500000
0.560000,-0.465370,-2.760495,-22.583028,30.050708,-2.500000
0.562000,-0.508146,-2.698848,-21.092567,28.735338,-2.500000
0.564000,-0.550045,-2.643311,-19.688665,27.513648,-2.500000
0.566000,-0.586420,-2.589891,-18.386608,26.395595,-2.500000
0.568000,-0.623244,-2.537671,-17.188740,25.379466,-2.500000
0.570000,-0.654777,-2.490304,-16.090816,24.458038,-2.500000
0.572000,-0.686466,-2.439387,-15.085638,23.622000,-2.500000
0.574000,-0.716444,-2.391376,-14.165038,22.861722,-2.500000
0.576000,-0.744135,-2.349139,-13.320884,22.168098,-2.500000
0.578000,-0.769816,-2.304309,-12.545558,21.532888,-2.500000
0.580000,-0.795347,-2.264157,-11.832147,20.948809,-2.500000
0.582000,-0.815689,-2.222525,-11.013036,20.312584,-0.174472
0.584000,-0.837028,-2.181904,-10.254293,19.725521,-0.121472
