t,theta,alpha,theta_dot,alpha_dot,voltage
0.000000,0.000822,-3.118983,-0.000000,0.000000,0.000000
0.002000,-0.015794,-3.160751,-0.553429,0.531437,-2.500000
0.004000,-0.005211,-3.126435,-1.101016,1.057021,-2.500000
0.006000,-0.026062,-3.153329,-1.642088,1.575868,-2.500000
0.008000,-0.006738,-3.148707,-2.175918,2.087041,-2.500000
0.010000,-0.014878,-3.138867,-2.701692,2.589529,-2.500000
0.012000,-0.019157,-3.141534,-3.218489,3.082218,-2.500000
0.014000,-0.016099,-3.120577,-3.725265,3.563886,-2.500000
0.016000,-0.023942,-3.111719,-4.220843,4.033190,-2.500000
0.018000,-0.028895,-3.084521,-4.703917,4.488669,-2.500000
0.020000,-0.049320,-3.091910,-5.173065,4.928761,-2.500000
0.022000,-0.044784,-3.084560,-5.626764,5.351823,-2.500000
0.024000,-0.058769,-3.070110,-6.063432,5.756164,-2.500000
0.026000,-0.085008,-3.065985,-6.481463,6.140093,-2.500000
0.028000,-0.112631,-3.052717,-6.879287,6.501966,-2.500000
0.030000,-0.133134,-3.034445,-7.255420,6.840247,-2.500000
0.032000,-0.130691,-3.034865,-7.608529,7.153566,-2.500000
0.034000,-0.151546,-2.996101,-7.937489,7.440776,-2.500000
0.036000,-0.167375,-2.978713,-8.241433,7.701003,-2.500000
0.038000,-0.164725,-2.972089,-8.519794,7.933684,-2.500000
0.040000,-0.190634,-2.949512,-8.772329,8.138592,-2.500000
0.042000,-0.207129,-2.930117,-8.999132,8.315840,-2.500000
0.044000,-0.237393,-2.924677,-9.200628,8.465876,-2.500000
0.046000,-0.251292,-2.907516,-9.377548,8.589456,-2.500000
0.048000,-0.282737,-2.906425,-9.530899,8.687609,-2.500000
0.050000,-0.281748,-2.852621,-9.661917,8.761588,-2.500000
0.052000,-0.310086,-2.853084,-9.772018,8.812819,-2.500000
0.054000,-0.331115,-2.834843,-9.862749,8.842852,-2.500000
0.056000,-0.356226,-2.822831,-9.935737,8.853309,-2.500000
0.058000,-0.378577,-2.788121,-9.992645,8.845836,-2.500000
0.060000,-0.388431,-2.783996,-10.035128,8.822066,-2.500000
0.062000,-0.418760,-2.766322,-10.064806,8.783589,-2.500000
0.064000,-0.421428,-2.741105,-10.083234,8.731922,-2.500000
0.066000,-0.433316,-2.745766,-10.091886,8.668496,-2.500000
0.068000,-0.468031,-2.732507,-10.092140,8.594639,-2.500000
0.070000,-0.489929,-2.682188,-10.085270,8.511578,-2.500000
0.072000,-0.496783,-2.660960,-10.072445,8.420426,-2.500000
0.074000,-0.528349,-2.677284,-10.054725,8.322195,-2.500000
0.076000,-0.560505,-2.646614,-10.033070,8.217789,-2.500000
0.078000,-0.555520,-2.649301,-10.008339,8.108016,-2.500000
0.080000,-0.568699,-2.609783,-9.981297,7.993594,-2.500000
0.082000,-0.596828,-2.599168,-9.952624,7.875156,-2.500000
0.084000,-0.651187,-2.579303,-9.922920,7.753259,-2.500000
0.086000,-0.626503,-2.568851,-9.892712,7.628390,-2.500000
0.088000,-0.652085,-2.543909,-9.862460,7.500974,-2.500000
0.090000,-0.696379,-2.533362,-9.832566,7.371383,-2.500000
0.092000,-0.695673,-2.527956,-9.803377,7.239937,-2.500000
0.094000,-0.719417,-2.507654,-9.775195,7.106913,-2.500000
0.096000,-0.758875,-2.510701,-9.748277,6.972552,-2.500000
0.098000,-0.768168,-2.480982,-9.722843,6.837060,-2.500000
0.100000,-0.787877,-2.453684,-9.699081,6.700613,-2.500000
0.102000,-0.797050,-2.435915,-9.464145,6.404127,-0.193816
0.104000,-0.821040,-2.429328,-9.237448,6.112336,-0.170053
0.106000,-0.823257,-2.432771,-9.015000,5.822298,-0.107453
0.108000,-0.856242,-2.436911,-8.801462,5.537412,-0.101635
0.110000,-0.885914,-2.393608,-8.589212,5.252184,-0.014399
0.112000,-0.907782,-2.394425,-8.378678,4.966968,0.065139
0.114000,-0.900589,-2.386214,-8.171294,4.682817,0.124405
0.116000,-0.931542,-2.374305,-7.973277,4.404102,0.104849
0.118000,-0.940295,-2.362865,-7.775448,4.124449,0.189417
0.120000,-0.946809,-2.366780,-7.582474,3.847114,0.213530
0.122000,-0.981858,-2.344339,-7.394415,3.572156,0.231531
0.124000,-0.988741,-2.363463,-7.204449,3.294978,0.329229
0.126000,-1.001034,-2.333654,-7.018559,3.019657,0.348582
0.128000,-1.011285,-2.353547,-6.835112,2.745126,0.383276
0.130000,-1.010626,-2.327244,-6.654169,2.471459,0.412342
0.132000,-1.035052,-2.323935,-6.477761,2.200027,0.410469
0.134000,-1.055999,-2.316255,-6.299906,1.926926,0.480194
0.136000,-1.062515,-2.305430,-6.121014,1.652464,0.540532
0.138000,-1.073324,-2.308443,-5.943938,1.378541,0.559402
0.140000,-1.101301,-2.305180,-5.767331,1.104315,0.590815
0.142000,-1.082604,-2.296446,-5.586951,0.827069,0.672741
0.144000,-1.125385,-2.311506,-5.412919,0.553384,0.617890
0.146000,-1.123468,-2.303183,-5.230987,0.274090,0.743988
0.148000,-1.122414,-2.296085,-5.050876,-0.004515,0.738294
0.150000,-1.124891,-2.301397,-4.804891,-0.326122,1.613313
0.152000,-1.160890,-2.315355,-4.559923,-0.647673,1.608402
0.154000,-1.169391,-2.325159,-4.320307,-0.966342,1.539676
0.156000,-1.160288,-2.311209,-4.081420,-1.285084,1.524168
0.158000,-1.179727,-2.315969,-3.840247,-1.605836,1.540784
