t,theta,alpha,theta_dot,alpha_dot,voltage
0.000000,-0.000989,0.099078,-0.987475,-0.920879,-4.900400
0.002000,-0.003471,0.096774,-1.494658,-1.383212,-2.687624
0.004000,-0.006714,0.093787,-1.748348,-1.603899,-1.513813
0.006000,-0.010330,0.090486,-1.868046,-1.697221,-0.888962
0.008000,-0.014115,0.087066,-1.917043,-1.723706,-0.554909
0.010000,-0.017961,0.083627,-1.928884,-1.715434,-0.374863
0.012000,-0.021810,0.080222,-1.921326,-1.689384,-0.276255
0.014000,-0.025635,0.076879,-1.903746,-1.654512,-0.220635
0.016000,-0.029420,0.073609,-1.881078,-1.615524,-0.187677
0.018000,-0.033156,0.070420,-1.855910,-1.574881,-0.166665
0.020000,-0.036841,0.067311,-1.829595,-1.533858,-0.151970
0.022000,-0.040474,0.064285,-1.802835,-1.493110,-0.140640
0.024000,-0.044052,0.061339,-1.775993,-1.452966,-0.131135
0.026000,-0.047577,0.058473,-1.749255,-1.413586,-0.122652
0.028000,-0.051049,0.055685,-1.722714,-1.375043,-0.114773
0.030000,-0.054467,0.052973,-1.696417,-1.337361,-0.107284
0.032000,-0.057834,0.050335,-1.670384,-1.300545,-0.100071
0.034000,-0.061149,0.047770,-1.644624,-1.264585,-0.093078
0.036000,-0.064412,0.045277,-1.619139,-1.229469,-0.086275
0.038000,-0.067625,0.042852,-1.593929,-1.195178,-0.079645
0.040000,-0.070788,0.040496,-1.568990,-1.161695,-0.073180
0.042000,-0.073901,0.038206,-1.544320,-1.129002,-0.066875
0.044000,-0.076965,0.035980,-1.519916,-1.097080,-0.060727
0.046000,-0.079980,0.033817,-1.495773,-1.065912,-0.054734
0.048000,-0.082947,0.031716,-1.471890,-1.035480,-0.048894
0.050000,-0.085867,0.029675,-1.448261,-1.005767,-0.043204
0.052000,-0.088740,0.027693,-1.424885,-0.976757,-0.037664
0.054000,-0.091567,0.025768,-1.401758,-0.948433,-0.032272
0.056000,-0.094347,0.023899,-1.378878,-0.920779,-0.027024
0.058000,-0.097082,0.022085,-1.356240,-0.893781,-0.021920
0.060000,-0.099772,0.020324,-1.333844,-0.867423,-0.016958
0.062000,-0.102417,0.018615,-1.311686,-0.841691,-0.012134
0.064000,-0.105018,0.016957,-1.289764,-0.816570,-0.007448
0.066000,-0.107576,0.015349,-1.268075,-0.792048,-0.002897
0.068000,-0.110090,0.013789,-1.246617,-0.768109,0.001522
0.070000,-0.112562,0.012276,-1.225387,-0.744742,0.005810
0.072000,-0.114992,0.010810,-1.204384,-0.721933,0.009970
0.074000,-0.117380,0.009389,-1.183606,-0.699669,0.014005
0.076000,-0.119726,0.008011,-1.163049,-0.677939,0.017916
0.078000,-0.122032,0.006677,-1.142713,-0.656731,0.021705
0.080000,-0.124297,0.005384,-1.122595,-0.636032,0.025376
0.082000,-0.126522,0.004132,-1.102693,-0.615832,0.028931
0.084000,-0.128707,0.002921,-1.083005,-0.596120,0.032371
0.086000,-0.130854,0.001748,-1.063530,-0.576884,0.035699
0.088000,-0.132961,0.000613,-1.044265,-0.558114,0.038918
0.090000,-0.135031,-0.000485,-1.025209,-0.539800,0.042030
0.092000,-0.137062,-0.001546,-1.006359,-0.521931,0.045037
0.094000,-0.139056,-0.002572,-0.987715,-0.504498,0.047940
0.096000,-0.141013,-0.003564,-0.969274,-0.487490,0.050744
0.098000,-0.142933,-0.004522,-0.951035,-0.470900,0.053449
0.100000,-0.144817,-0.005448,-0.932996,-0.454716,0.056058
0.102000,-0.146665,-0.006341,-0.915155,-0.438931,0.058573
0.104000,-0.148478,-0.007204,-0.897510,-0.423535,0.060996
0.106000,-0.150255,-0.008036,-0.880061,-0.408519,0.063329
0.108000,-0.151998,-0.008838,-0.862804,-0.393876,0.065575
0.110000,-0.153706,-0.009611,-0.845740,-0.379597,0.067735
0.112000,-0.155381,-0.010356,-0.828865,-0.365674,0.069811
0.114000,-0.157022,-0.011074,-0.812179,-0.352099,0.071806
0.116000,-0.158630,-0.011765,-0.795680,-0.338864,0.073721
0.118000,-0.160204,-0.012430,-0.779366,-0.325962,0.075558
0.120000,-0.161747,-0.013069,-0.763236,-0.313386,0.077319
0.122000,-0.163257,-0.013683,-0.747288,-0.301127,0.079007
0.124000,-0.164736,-0.014273,-0.731521,-0.289180,0.080622
0.126000,-0.166183,-0.014840,-0.715933,-0.277536,0.082166
0.128000,-0.167600,-0.015384,-0.700522,-0.266190,0.083642
0.130000,-0.168986,-0.015905,-0.685288,-0.255134,0.085051
0.132000,-0.170341,-0.016404,-0.670229,-0.244363,0.086395
0.134000,-0.171667,-0.016882,-0.655342,-0.233870,0.087675
0.136000,-0.172962,-0.017340,-0.640628,-0.223648,0.088893
0.138000,-0.174229,-0.017777,-0.626083,-0.213691,0.090051
0.140000,-0.175467,-0.018195,-0.611708,-0.203995,0.091149
0.142000,-0.176676,-0.018593,-0.597499,-0.194552,0.092191
0.144000,-0.177857,-0.018973,-0.583457,-0.185357,0.093176
0.146000,-0.179010,-0.019335,-0.569579,-0.176404,0.094107
0.148000,-0.180135,-0.019679,-0.555864,-0.167689,0.094986
0.150000,-0.181233,-0.020006,-0.542311,-0.159205,0.095812
0.152000,-0.182304,-0.020316,-0.528918,-0.150947,0.096589
0.154000,-0.183349,-0.020609,-0.515684,-0.142911,0.097317
0.156000,-0.184367,-0.020887,-0.502607,-0.135091,0.097997
0.158000,-0.185360,-0.021150,-0.489687,-0.127483,0.098631
0.160000,-0.186326,-0.021397,-0.476921,-0.120081,0.099220
0.162000,-0.187267,-0.021630,-0.464308,-0.112881,0.099766
0.164000,-0.188183,-0.021849,-0.451847,-0.105879,0.100268
0.166000,-0.189075,-0.022054,-0.439537,-0.099069,0.100730
0.168000,-0.189942,-0.022245,-0.427376,-0.092448,0.101152
0.170000,-0.190784,-0.022424,-0.415363,-0.086011,0.101534
0.172000,-0.191603,-0.022590,-0.403497,-0.079754,0.101878
0.174000,-0.192398,-0.022743,-0.391775,-0.073672,0.102186
0.176000,-0.193170,-0.022884,-0.380198,-0.067762,0.102458
0.178000,-0.193919,-0.023014,-0.368763,-0.062020,0.102695
0.180000,-0.194645,-0.023133,-0.357470,-0.056442,0.102898
0.182000,-0.195349,-0.023240,-0.346317,-0.051024,0.103069
0.184000,-0.196031,-0.023337,-0.335302,-0.045763,0.103208
0.186000,-0.196690,-0.023423,-0.324425,-0.040654,0.103316
0.188000,-0.197329,-0.023499,-0.313684,-0.035695,0.103393
0.190000,-0.197945,-0.023566,-0.303079,-0.030882,0.103442
0.192000,-0.198541,-0.023623,-0.292606,-0.026210,0.103463
0.194000,-0.199116,-0.023671,-0.282267,-0.021678,0.103456
0.196000,-0.199670,-0.023710,-0.272058,-0.017282,0.103423
0.198000,-0.200204,-0.023740,-0.261980,-0.013019,0.103364
0.200000,-0.200718,-0.023762,-0.252030,-0.008885,0.103280
0.202000,-0.201212,-0.023776,-0.242208,-0.004877,0.103172
0.204000,-0.201687,-0.023782,-0.232513,-0.000993,0.103041
0.206000,-0.202142,-0.023780,-0.222942,0.002770,0.102887
0.208000,-0.202579,-0.023771,-0.213496,0.006416,0.102712
0.210000,-0.202997,-0.023754,-0.204172,0.009946,0.102515
0.212000,-0.203396,-0.023731,-0.194970,0.013365,0.102297
0.214000,-0.203777,-0.023701,-0.185889,0.016674,0.102060
0.216000,-0.204139,-0.023664,-0.176927,0.019876,0.101804
0.218000,-0.204484,-0.023621,-0.168083,0.022973,0.101529
0.220000,-0.204812,-0.023573,-0.159356,0.025969,0.101236
0.222000,-0.205122,-0.023518,-0.150746,0.028865,0.100926
0.224000,-0.205415,-0.023457,-0.142250,0.031664,0.100599
0.226000,-0.205691,-0.023391,-0.133867,0.034369,0.100256
0.228000,-0.205950,-0.023320,-0.125598,0.036981,0.099897
0.230000,-0.206193,-0.023243,-0.117440,0.039503,0.099524
0.232000,-0.206420,-0.023162,-0.109392,0.041937,0.099135
0.234000,-0.206631,-0.023076,-0.101453,0.044285,0.098734
0.236000,-0.206826,-0.022985,-0.093623,0.046549,0.098318
0.238000,-0.207006,-0.022890,-0.085901,0.048732,0.097890
0.240000,-0.207170,-0.022790,-0.078284,0.050835,0.097449
0.242000,-0.207319,-0.022686,-0.070772,0.052860,0.096996
0.244000,-0.207453,-0.022579,-0.063365,0.054810,0.096532
0.246000,-0.207573,-0.022467,-0.056060,0.056685,0.096057
0.248000,-0.207677,-0.022352,-0.048858,0.058489,0.095571
0.250000,-0.207768,-0.022233,-0.041757,0.060222,0.095074
0.252000,-0.207845,-0.022111,-0.034755,0.061887,0.094569
0.254000,-0.207907,-0.021986,-0.027853,0.063485,0.094053
0.256000,-0.207956,-0.021857,-0.021049,0.065017,0.093529
0.258000,-0.207992,-0.021726,-0.014341,0.066487,0.092996
0.260000,-0.208014,-0.021591,-0.007730,0.067894,0.092455
0.262000,-0.208023,-0.021454,-0.001214,0.069241,0.091906
0.264000,-0.208019,-0.021315,0.005208,0.070529,0.091350
0.266000,-0.208002,-0.021172,0.011537,0.071760,0.090786
0.268000,-0.207972,-0.021028,0.017774,0.072936,0.090216
0.270000,-0.207931,-0.020881,0.023920,0.074057,0.089639
0.272000,-0.207877,-0.020731,0.029975,0.075125,0.089057
0.274000,-0.207811,-0.020580,0.035940,0.076141,0.088468
0.276000,-0.207733,-0.020427,0.041817,0.077107,0.087874
0.278000,-0.207644,-0.020272,0.047607,0.078024,0.087274
0.280000,-0.207543,-0.020115,0.053310,0.078894,0.086670
0.282000,-0.207431,-0.019956,0.058927,0.079717,0.086061
0.284000,-0.207307,-0.019796,0.064459,0.080495,0.085448
0.286000,-0.207173,-0.019634,0.069907,0.081229,0.084830
0.288000,-0.207028,-0.019471,0.075272,0.081920,0.084209
0.290000,-0.206872,-0.019307,0.080554,0.082569,0.083584
0.292000,-0.206706,-0.019141,0.085756,0.083178,0.082956
0.294000,-0.206529,-0.018974,0.090876,0.083748,0.082324
0.296000,-0.206342,-0.018806,0.095917,0.084279,0.081690
0.298000,-0.206145,-0.018637,0.100879,0.084772,0.081053
0.300000,-0.205939,-0.018467,0.105762,0.085230,0.080414
0.302000,-0.205723,-0.018296,0.110569,0.085652,0.079773
0.304000,-0.205497,-0.018125,0.115299,0.086040,0.079129
0.306000,-0.205261,-0.017952,0.119953,0.086394,0.078484
0.308000,-0.205017,-0.017779,0.124533,0.086716,0.077837
0.310000,-0.204763,-0.017605,0.129039,0.087007,0.077189
0.312000,-0.204501,-0.017431,0.133471,0.087267,0.076539
0.314000,-0.204230,-0.017256,0.137831,0.087497,0.075889
0.316000,-0.203950,-0.017081,0.142119,0.087698,0.075237
0.318000,-0.203661,-0.016906,0.146336,0.087871,0.074585
0.320000,-0.203364,-0.016730,0.150483,0.088016,0.073932
0.322000,-0.203059,-0.016554,0.154560,0.088135,0.073279
0.324000,-0.202746,-0.016377,0.158569,0.088229,0.072626
0.326000,-0.202425,-0.016201,0.162510,0.088297,0.071973
0.328000,-0.202096,-0.016024,0.166384,0.088342,0.071320
0.330000,-0.201760,-0.015847,0.170191,0.088362,0.070667
0.332000,-0.201416,-0.015671,0.173933,0.088360,0.070014
0.334000,-0.201064,-0.015494,0.177610,0.088336,0.069362
0.336000,-0.200705,-0.015317,0.181222,0.088290,0.068711
0.338000,-0.200339,-0.015141,0.184771,0.088224,0.068060
0.340000,-0.199966,-0.014965,0.188256,0.088137,0.067410
0.342000,-0.199586,-0.014789,0.191680,0.088031,0.066762
0.344000,-0.199200,-0.014613,0.195042,0.087906,0.066114
0.346000,-0.198806,-0.014437,0.198343,0.087762,0.065468
0.348000,-0.198406,-0.014262,0.201584,0.087601,0.064822
0.350000,-0.198000,-0.014087,0.204766,0.087423,0.064179
0.352000,-0.197587,-0.013912,0.207889,0.087228,0.063537
0.354000,-0.197169,-0.013738,0.210953,0.087017,0.062896
0.356000,-0.196744,-0.013564,0.213960,0.086790,0.062258
0.358000,-0.196313,-0.013391,0.216910,0.086549,0.061621
0.360000,-0.195876,-0.013218,0.219804,0.086292,0.060986
0.362000,-0.195434,-0.013046,0.222643,0.086022,0.060353
0.364000,-0.194986,-0.012874,0.225426,0.085739,0.059722
0.366000,-0.194532,-0.012703,0.228155,0.085442,0.059093
0.368000,-0.194073,-0.012532,0.230830,0.085132,0.058467
0.370000,-0.193609,-0.012362,0.233452,0.084811,0.057843
0.372000,-0.193139,-0.012193,0.236022,0.084477,0.057221
0.374000,-0.192665,-0.012024,0.238540,0.084133,0.056601
0.376000,-0.192185,-0.011856,0.241006,0.083777,0.055985
0.378000,-0.191701,-0.011689,0.243422,0.083411,0.055370
